# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_5_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_5/C23_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_5/C23_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_5/C23_1.bam
3054_47	k141_22125	48197	49213	+	1017	57
3054_48	k141_22125	49225	50634	+	1410	122
3054_49	k141_22125	50784	51542	+	759	37
3054_50	k141_22125	51572	51820	-	249	24
3054_51	k141_22125	51824	52177	-	354	15
3054_52	k141_22125	52388	53677	+	1290	92
3054_53	k141_22125	53677	54345	+	669	42
3054_54	k141_22125	54409	54951	-	543	65
3054_55	k141_22125	55186	56292	+	1107	75
3054_56	k141_22125	56297	57571	+	1275	132
3054_57	k141_22125	57612	58385	+	774	82
3054_58	k141_22125	58336	59778	+	1443	102
3054_59	k141_22125	59940	60263	+	324	20
3054_60	k141_22125	60260	60925	+	666	61
3054_61	k141_22125	60946	61656	+	711	64
3054_62	k141_22125	61689	61874	+	186	14
3054_63	k141_22125	61993	63513	+	1521	132
3054_64	k141_22125	63921	64124	+	204	23
3054_65	k141_22125	64124	64387	+	264	15
3054_66	k141_22125	64389	65003	+	615	20
3054_67	k141_22125	65157	65591	+	435	26
3054_68	k141_22125	65593	66369	+	777	44
3054_69	k141_22125	66398	67180	+	783	58
3054_70	k141_22125	67354	69306	+	1953	156
3054_71	k141_22125	69325	69780	+	456	68
3054_72	k141_22125	69806	71134	+	1329	87
3054_73	k141_22125	71174	71458	+	285	17
3054_74	k141_22125	71468	71983	+	516	52
3054_75	k141_22125	71986	72642	+	657	29
3054_76	k141_22125	72639	73193	+	555	45
3054_77	k141_22125	73404	74765	+	1362	139
3054_78	k141_22125	74781	76265	+	1485	101
3054_79	k141_22125	76262	76531	+	270	10
3054_80	k141_22125	76528	76968	+	441	64
3054_81	k141_22125	77279	77755	+	477	33
3054_82	k141_22125	77760	79010	+	1251	120
3054_83	k141_22125	79031	79522	+	492	50
3054_84	k141_22125	79539	80768	+	1230	104
3054_85	k141_22125	80705	80827	-	123	0
3054_86	k141_22125	80863	82026	+	1164	81
3054_87	k141_22125	82354	82959	-	606	48
3054_88	k141_22125	83390	84121	-	732	74
3054_89	k141_22125	84150	85013	-	864	84
3054_90	k141_22125	85017	85685	-	669	111
3054_91	k141_22125	85853	87103	-	1251	128
3054_92	k141_22125	87140	87826	-	687	98
3054_93	k141_22125	87924	88649	-	726	81
3054_94	k141_22125	88679	89107	-	429	64
3054_95	k141_22125	89387	90304	+	918	46
3054_96	k141_22125	90378	90752	-	375	36
3055_1	k141_36181	2	1177	+	1176	66
3056_1	k141_50309	3	1001	+	999	15
3057_1	k141_25452	143	1000	+	858	76
3057_2	k141_25452	1045	2271	-	1227	83
3057_3	k141_25452	2479	3603	+	1125	43
3057_4	k141_25452	3687	4151	+	465	20
3057_5	k141_25452	4163	4969	+	807	30
3058_1	k141_60991	1	558	-	558	192
3058_2	k141_60991	1394	2422	-	1029	139
3058_3	k141_60991	2975	4678	+	1704	245
3058_4	k141_60991	4753	5256	+	504	69
3058_5	k141_60991	5381	6679	-	1299	173
3058_6	k141_60991	6679	7524	-	846	115
3058_7	k141_60991	7710	9068	+	1359	203
3058_8	k141_60991	9138	10457	+	1320	186
3058_9	k141_60991	10525	11739	-	1215	124
3058_10	k141_60991	12008	12232	+	225	45
3058_11	k141_60991	12424	14484	+	2061	242
3058_12	k141_60991	14754	15545	+	792	73
3058_13	k141_60991	15859	17610	+	1752	215
3058_14	k141_60991	17726	18682	+	957	109
3058_15	k141_60991	18693	19610	+	918	89
3058_16	k141_60991	19629	20660	+	1032	103
3058_17	k141_60991	20660	21661	+	1002	83
3058_18	k141_60991	21665	22018	+	354	18
3058_19	k141_60991	22100	22687	-	588	39
3058_20	k141_60991	22855	23910	+	1056	48
3058_21	k141_60991	23931	28520	+	4590	464
3058_22	k141_60991	28634	28975	+	342	4
3059_1	k141_39582	1	246	-	246	20
3059_2	k141_39582	496	4935	-	4440	306
3059_3	k141_39582	5334	7469	+	2136	132
3059_4	k141_39582	7727	10930	+	3204	188
3059_5	k141_39582	10961	12079	+	1119	51
3059_6	k141_39582	12231	13298	+	1068	38
3059_7	k141_39582	13300	14388	+	1089	84
3059_8	k141_39582	14422	15747	+	1326	105
3059_9	k141_39582	15858	17105	+	1248	60
3059_10	k141_39582	17181	18125	+	945	44
3059_11	k141_39582	18273	19004	+	732	38
3059_12	k141_39582	19800	21254	-	1455	180
3059_13	k141_39582	21673	25326	+	3654	306
3059_14	k141_39582	25569	26120	-	552	54
3059_15	k141_39582	26125	29649	-	3525	341
3059_16	k141_39582	29682	30683	-	1002	71
3059_17	k141_39582	30816	31460	+	645	56
3059_18	k141_39582	31503	32177	-	675	32
3059_19	k141_39582	32207	32947	-	741	69
3059_20	k141_39582	32967	35216	-	2250	141
3059_21	k141_39582	35342	36667	-	1326	85
3059_22	k141_39582	36664	37998	-	1335	100
3059_23	k141_39582	38140	39339	+	1200	96
3059_24	k141_39582	39658	41802	-	2145	208
3059_25	k141_39582	42256	43656	-	1401	92
3059_26	k141_39582	43653	45188	-	1536	78
3059_27	k141_39582	45222	46250	-	1029	62
3059_28	k141_39582	46229	46846	-	618	33
3059_29	k141_39582	46995	47249	-	255	17
3059_30	k141_39582	47351	47992	-	642	54
3059_31	k141_39582	47970	48848	-	879	60
3059_32	k141_39582	48950	50581	-	1632	101
3059_33	k141_39582	50568	55751	-	5184	285
3059_34	k141_39582	55751	57028	-	1278	60
3059_35	k141_39582	57171	57962	+	792	57
3059_36	k141_39582	57984	58559	-	576	34
3059_37	k141_39582	58581	59258	-	678	60
3059_38	k141_39582	59449	61527	+	2079	165
3059_39	k141_39582	61682	62530	-	849	62
3059_40	k141_39582	62880	63638	-	759	39
3059_41	k141_39582	63830	64633	-	804	60
3059_42	k141_39582	64702	66081	+	1380	72
3059_43	k141_39582	66100	68268	-	2169	151
3059_44	k141_39582	68461	69102	-	642	40
3059_45	k141_39582	69115	69267	-	153	3
3059_46	k141_39582	69245	70036	-	792	44
3059_47	k141_39582	70365	70970	+	606	37
3059_48	k141_39582	71167	72153	+	987	14
3059_49	k141_39582	72189	72842	-	654	45
3059_50	k141_39582	72872	73717	-	846	81
3059_51	k141_39582	73867	74463	+	597	46
3059_52	k141_39582	74503	75540	+	1038	69
3059_53	k141_39582	75597	76388	-	792	38
3059_54	k141_39582	76385	77173	-	789	30
3059_55	k141_39582	77170	78216	-	1047	40
3059_56	k141_39582	78344	79105	+	762	30
3059_57	k141_39582	79209	82178	-	2970	231
3059_58	k141_39582	82549	82944	-	396	45
3059_59	k141_39582	83051	83557	-	507	29
3059_60	k141_39582	83547	84116	-	570	38
3059_61	k141_39582	84113	85603	-	1491	90
3059_62	k141_39582	85833	86084	+	252	23
3059_63	k141_39582	86167	87447	+	1281	78
3059_64	k141_39582	87498	88559	+	1062	72
3059_65	k141_39582	88878	90839	-	1962	127
3059_66	k141_39582	91185	92708	-	1524	87
3059_67	k141_39582	93232	94911	+	1680	83
3059_68	k141_39582	94935	96137	+	1203	44
3059_69	k141_39582	96162	96650	+	489	16
3059_70	k141_39582	96682	97575	+	894	40
3059_71	k141_39582	97591	98439	+	849	42
3059_72	k141_39582	98457	99527	+	1071	88
3059_73	k141_39582	99637	101088	+	1452	182
3059_74	k141_39582	101482	102309	+	828	94
3059_75	k141_39582	102463	103083	+	621	42
3059_76	k141_39582	103073	104368	-	1296	73
3059_77	k141_39582	104430	105851	+	1422	51
3059_78	k141_39582	105848	106366	+	519	15
3059_79	k141_39582	106354	107175	-	822	37
3059_80	k141_39582	107537	108463	-	927	71
3059_81	k141_39582	108588	109355	-	768	58
3059_82	k141_39582	109484	110095	-	612	39
3059_83	k141_39582	110128	110679	-	552	26
3059_84	k141_39582	110714	111091	-	378	36
3059_85	k141_39582	111210	112361	-	1152	66
3059_86	k141_39582	112373	113296	+	924	29
3059_87	k141_39582	113293	114324	+	1032	57
3060_1	k141_29164	84	671	-	588	29
3061_1	k141_46532	191	1402	-	1212	47
3061_2	k141_46532	1731	2606	+	876	26
3062_1	k141_50311	3	149	+	147	3
3062_2	k141_50311	235	1053	+	819	11
3063_1	k141_67962	2	2794	+	2793	48
3063_2	k141_67962	2964	4331	-	1368	24
3064_1	k141_60992	2	544	-	543	15
3064_2	k141_60992	634	1497	-	864	8
3065_1	k141_36186	3	164	+	162	14
3065_2	k141_36186	666	935	-	270	7
3065_3	k141_36186	1119	1226	-	108	3
3066_1	k141_50312	3	326	-	324	32
3066_2	k141_50312	782	1429	+	648	20
3067_1	k141_954	2	553	+	552	84
3067_2	k141_954	651	2603	-	1953	261
3067_3	k141_954	2723	4756	-	2034	239
3067_4	k141_954	4873	5715	-	843	110
3067_5	k141_954	5717	6616	-	900	92
3067_6	k141_954	6647	7903	-	1257	223
3067_7	k141_954	8123	8872	-	750	88
3067_8	k141_954	8914	10758	-	1845	304
3067_9	k141_954	11006	13207	-	2202	356
3067_10	k141_954	13242	13907	-	666	76
3067_11	k141_954	14106	14930	-	825	173
3067_12	k141_954	14943	15836	-	894	194
3067_13	k141_954	16002	17267	-	1266	338
3067_14	k141_954	17355	18416	+	1062	223
3067_15	k141_954	18500	20707	-	2208	455
3068_1	k141_57263	612	1487	-	876	69
3068_2	k141_57263	1593	2987	-	1395	60
3068_3	k141_57263	3429	3674	+	246	63
3068_4	k141_57263	4084	4461	-	378	23
3068_5	k141_57263	4910	5428	+	519	46
3068_6	k141_57263	5412	6050	+	639	23
3068_7	k141_57263	6047	6781	+	735	24
3068_8	k141_57263	6895	7029	+	135	2
3068_9	k141_57263	7148	8035	-	888	14
3068_10	k141_57263	8096	8665	-	570	10
3069_1	k141_32709	1	978	-	978	92
3069_2	k141_32709	1156	2499	+	1344	87
3069_3	k141_32709	2574	3374	+	801	39
3069_4	k141_32709	3392	4486	+	1095	50
3069_5	k141_32709	4693	5949	+	1257	66
3069_6	k141_32709	5946	6833	+	888	52
3069_7	k141_32709	7130	7597	-	468	20
3069_8	k141_32709	7711	8103	-	393	21
3069_9	k141_32709	8319	9761	-	1443	64
3069_10	k141_32709	9845	10666	-	822	66
3069_11	k141_32709	11148	11513	-	366	68
3069_12	k141_32709	11778	11888	+	111	12
3070_1	k141_43378	2	196	-	195	0
3070_2	k141_43378	355	1173	-	819	85
3070_3	k141_43378	1173	2579	-	1407	69
3070_4	k141_43378	2655	3152	-	498	37
3070_5	k141_43378	3452	4087	-	636	6
3071_1	k141_46533	3	920	+	918	36
3071_2	k141_46533	1114	2073	+	960	28
3071_3	k141_46533	2093	2401	+	309	1
3072_1	k141_4362	210	1001	-	792	183
3072_2	k141_4362	991	1875	-	885	203
3072_3	k141_4362	1896	3263	-	1368	351
3072_4	k141_4362	3278	3703	-	426	73
3072_5	k141_4362	3723	4166	-	444	71
3072_6	k141_4362	4184	5428	-	1245	256
3072_7	k141_4362	5441	6181	-	741	139
3072_8	k141_4362	6184	7104	-	921	249
3072_9	k141_4362	7218	7451	-	234	63
3072_10	k141_4362	7759	8697	+	939	336
3072_11	k141_4362	8697	9563	+	867	189
3072_12	k141_4362	9576	10994	+	1419	279
3072_13	k141_4362	11003	11884	+	882	225
3072_14	k141_4362	12154	13521	-	1368	399
3072_15	k141_4362	13845	15428	+	1584	402
3072_16	k141_4362	15945	16208	-	264	40
3072_17	k141_4362	16205	17131	-	927	216
3072_18	k141_4362	17135	17989	-	855	187
3072_19	k141_4362	18020	18928	-	909	224
3072_20	k141_4362	18951	19886	-	936	218
3072_21	k141_4362	19891	20826	-	936	196
3072_22	k141_4362	20891	22756	-	1866	516
3072_23	k141_4362	22920	23660	-	741	125
3072_24	k141_4362	23703	24044	-	342	80
3072_25	k141_4362	24259	25140	-	882	245
3072_26	k141_4362	25178	26026	-	849	223
3072_27	k141_4362	26040	26975	-	936	191
3072_28	k141_4362	26998	27897	-	900	257
3072_29	k141_4362	27945	28484	-	540	143
3072_30	k141_4362	28498	29547	-	1050	231
3072_31	k141_4362	29560	30210	-	651	132
3072_32	k141_4362	30286	31335	-	1050	273
3072_33	k141_4362	31374	31673	-	300	23
3072_34	k141_4362	31691	32131	-	441	110
3072_35	k141_4362	32164	33429	-	1266	290
3072_36	k141_4362	33674	35548	-	1875	488
3072_37	k141_4362	35587	35772	-	186	40
3072_38	k141_4362	35860	36750	-	891	135
3072_39	k141_4362	36907	37572	+	666	127
3072_40	k141_4362	37591	38631	+	1041	177
3072_41	k141_4362	38898	41723	-	2826	534
3072_42	k141_4362	41764	43752	-	1989	427
3072_43	k141_4362	43908	45050	-	1143	267
3072_44	k141_4362	45101	46276	-	1176	166
3072_45	k141_4362	46322	47167	-	846	129
3072_46	k141_4362	47220	47903	-	684	127
3072_47	k141_4362	47908	48993	-	1086	252
3072_48	k141_4362	49245	50504	-	1260	295
3072_49	k141_4362	50638	51363	+	726	181
3072_50	k141_4362	51822	52697	-	876	240
3072_51	k141_4362	52870	54093	+	1224	478
3072_52	k141_4362	54097	54765	+	669	264
3072_53	k141_4362	54784	55653	+	870	345
3072_54	k141_4362	55786	56484	-	699	187
3072_55	k141_4362	56477	58453	-	1977	791
3072_56	k141_4362	58517	58651	-	135	23
3072_57	k141_4362	58677	59324	-	648	241
3072_58	k141_4362	59344	60681	-	1338	471
3072_59	k141_4362	60946	61074	-	129	18
3072_60	k141_4362	61090	61572	-	483	130
3072_61	k141_4362	61835	63508	-	1674	408
3072_62	k141_4362	63522	65090	-	1569	344
3072_63	k141_4362	65568	66308	+	741	156
3072_64	k141_4362	66262	66588	+	327	78
3072_65	k141_4362	66603	66779	-	177	38
3072_66	k141_4362	67005	68333	-	1329	303
3072_67	k141_4362	68882	70777	-	1896	458
3072_68	k141_4362	70770	72458	-	1689	364
3073_1	k141_22133	1	372	+	372	6
3073_2	k141_22133	374	1132	+	759	4
3074_1	k141_57264	2	151	+	150	10
3074_2	k141_57264	198	869	+	672	33
3074_3	k141_57264	966	1112	+	147	3
3075_1	k141_29168	2	511	+	510	5
3075_2	k141_29168	516	1274	+	759	6
3076_1	k141_43379	1	1305	+	1305	27
3077_1	k141_32710	2	391	+	390	5
3077_2	k141_32710	430	1125	+	696	18
3078_1	k141_36187	160	519	-	360	11
3078_2	k141_36187	586	759	-	174	4
3078_3	k141_36187	764	2305	-	1542	11
3079_1	k141_39585	35	2413	+	2379	403
3079_2	k141_39585	2639	3181	-	543	140
3080_1	k141_67967	3	266	-	264	5
3080_2	k141_67967	263	1684	-	1422	10
3081_1	k141_957	11	682	-	672	222
3081_2	k141_957	818	1717	-	900	52
3081_3	k141_957	1710	2147	-	438	61
3082_1	k141_60998	3	341	+	339	7
3082_2	k141_60998	455	2092	+	1638	32
3082_3	k141_60998	2315	2575	+	261	2
3083_1	k141_25460	1	168	-	168	0
3083_2	k141_25460	323	3082	-	2760	93
3083_3	k141_25460	3230	4528	-	1299	38
3084_1	k141_32712	26	853	-	828	23
3084_2	k141_32712	859	1803	-	945	45
3085_1	k141_36189	1	456	+	456	48
3085_2	k141_36189	486	1592	+	1107	109
3085_3	k141_36189	1772	2230	-	459	47
3086_1	k141_43389	1	1044	-	1044	296
3087_1	k141_61001	3	545	-	543	6
3087_2	k141_61001	570	1721	-	1152	22
3087_3	k141_61001	1819	2004	-	186	0
3088_1	k141_25462	3	368	+	366	5
3088_2	k141_25462	440	1087	+	648	15
3088_3	k141_25462	1114	1377	+	264	5
3088_4	k141_25462	1449	1883	-	435	10
3089_1	k141_50323	283	1158	-	876	17
3089_2	k141_50323	1296	1925	-	630	10
3090_1	k141_4367	1	456	+	456	12
3090_2	k141_4367	594	2177	+	1584	37
3090_3	k141_4367	2187	3005	+	819	11
3090_4	k141_4367	3007	3591	+	585	11
3091_1	k141_32713	3	1274	+	1272	55
3091_2	k141_32713	1261	1956	+	696	79
3091_3	k141_32713	2144	2251	-	108	26
3092_1	k141_57266	2	304	+	303	124
3092_2	k141_57266	463	693	-	231	143
3092_3	k141_57266	1042	1332	+	291	14
3092_4	k141_57266	1293	1673	+	381	46
3092_5	k141_57266	2827	3030	-	204	29
3092_6	k141_57266	3290	3778	+	489	23
3092_7	k141_57266	3780	4460	+	681	58
3092_8	k141_57266	4586	5002	+	417	24
3093_1	k141_7721	300	1967	+	1668	451
3093_2	k141_7721	2077	2481	-	405	87
3093_3	k141_7721	2626	3294	+	669	136
3093_4	k141_7721	3301	3966	+	666	136
3093_5	k141_7721	3959	4762	+	804	128
3093_6	k141_7721	4764	5021	+	258	26
3093_7	k141_7721	5344	8022	+	2679	552
3093_8	k141_7721	8290	10362	+	2073	434
3093_9	k141_7721	10716	11045	+	330	100
3093_10	k141_7721	11059	11559	-	501	50
3093_11	k141_7721	11814	12653	+	840	169
3093_12	k141_7721	12728	13201	+	474	132
3093_13	k141_7721	13335	13535	-	201	31
3093_14	k141_7721	13810	15096	+	1287	271
3093_15	k141_7721	15130	16056	+	927	146
3093_16	k141_7721	16067	16855	+	789	184
3093_17	k141_7721	16855	17757	+	903	200
3093_18	k141_7721	17784	18464	+	681	149
3093_19	k141_7721	18543	18695	+	153	35
3093_20	k141_7721	18721	19194	+	474	99
3093_21	k141_7721	19178	19498	+	321	51
3093_22	k141_7721	19537	21570	+	2034	356
3093_23	k141_7721	21804	22304	+	501	80
3093_24	k141_7721	22354	23379	+	1026	129
3093_25	k141_7721	23373	24014	+	642	129
3093_26	k141_7721	24034	25308	+	1275	219
3093_27	k141_7721	25624	26346	+	723	161
3093_28	k141_7721	26351	26629	+	279	27
3094_1	k141_46551	2	439	+	438	1
3094_2	k141_46551	526	1326	-	801	30
3094_3	k141_46551	1347	1577	-	231	0
3095_1	k141_966	3	1025	+	1023	11
3095_2	k141_966	1022	1750	+	729	21
3095_3	k141_966	1747	2265	+	519	4
3096_1	k141_36190	2	415	-	414	9
3096_2	k141_36190	840	1130	-	291	14
3096_3	k141_36190	1132	1974	-	843	17
3096_4	k141_36190	1998	2867	-	870	25
3096_5	k141_36190	3044	3913	+	870	10
3097_1	k141_43394	3	1118	-	1116	31
3097_2	k141_43394	1180	1605	-	426	10
3098_1	k141_4368	3	1943	+	1941	42
3098_2	k141_4368	2103	2312	+	210	6
3099_1	k141_67971	1	69	-	69	0
3099_2	k141_67971	106	825	-	720	36
3099_3	k141_67971	1088	1429	+	342	6
3099_4	k141_67971	1690	2409	-	720	23
3099_5	k141_67971	2578	3549	+	972	15
3099_6	k141_67971	3546	4355	+	810	22
3099_7	k141_67971	4364	5443	+	1080	27
3100_1	k141_50325	13	444	+	432	35
3100_2	k141_50325	724	936	+	213	6
3100_3	k141_50325	940	1395	+	456	48
3100_4	k141_50325	1395	2156	+	762	67
3100_5	k141_50325	2190	2381	+	192	6
3101_1	k141_14925	114	1454	-	1341	35
3101_2	k141_14925	1490	1861	-	372	4
3101_3	k141_14925	2481	3341	-	861	45
3101_4	k141_14925	3577	4731	-	1155	41
3101_5	k141_14925	4838	5395	-	558	40
3101_6	k141_14925	5458	6084	-	627	16
3101_7	k141_14925	6100	6729	-	630	10
3101_8	k141_14925	6788	8011	-	1224	52
3101_9	k141_14925	8031	8678	-	648	39
3101_10	k141_14925	8675	9043	-	369	26
3101_11	k141_14925	9258	9647	-	390	12
3101_12	k141_14925	9651	11315	-	1665	77
3101_13	k141_14925	11437	11724	-	288	20
3101_14	k141_14925	11764	12201	-	438	17
3101_15	k141_14925	12204	12461	-	258	17
3101_16	k141_14925	12516	13868	-	1353	60
3101_17	k141_14925	14110	14265	+	156	0
3102_1	k141_36192	2	385	-	384	12
3102_2	k141_36192	396	1499	-	1104	26
3103_1	k141_61004	2	265	-	264	1
3103_2	k141_61004	450	848	+	399	10
3103_3	k141_61004	845	1804	+	960	14
3103_4	k141_61004	1801	2886	+	1086	12
3103_5	k141_61004	3017	3727	+	711	21
3103_6	k141_61004	3753	4157	+	405	17
3104_1	k141_46552	2	319	+	318	2
3104_2	k141_46552	380	1363	+	984	37
3104_3	k141_46552	1472	2485	+	1014	50
3105_1	k141_32721	3	206	-	204	5
3105_2	k141_32721	662	1132	+	471	3
3106_1	k141_18486	3	482	-	480	29
3106_2	k141_18486	766	2382	-	1617	125
3106_3	k141_18486	2652	3914	-	1263	76
3106_4	k141_18486	3936	6017	-	2082	165
3106_5	k141_18486	6022	6693	-	672	40
3106_6	k141_18486	6690	8132	-	1443	60
3106_7	k141_18486	8351	9484	+	1134	60
3106_8	k141_18486	9569	10324	-	756	30
3106_9	k141_18486	10331	12130	-	1800	107
3106_10	k141_18486	12208	13431	-	1224	93
3106_11	k141_18486	13394	14029	-	636	53
3106_12	k141_18486	14051	15559	-	1509	115
3106_13	k141_18486	15552	16181	-	630	57
3106_14	k141_18486	16204	18528	-	2325	213
3106_15	k141_18486	18607	19131	-	525	39
3106_16	k141_18486	19334	21052	-	1719	120
3106_17	k141_18486	21219	23642	-	2424	182
3106_18	k141_18486	23658	25022	-	1365	88
3106_19	k141_18486	25166	25306	-	141	12
3106_20	k141_18486	25389	25739	-	351	50
3106_21	k141_18486	25790	27028	-	1239	41
3107_1	k141_25470	2	421	-	420	8
3107_2	k141_25470	546	1130	-	585	10
3107_3	k141_25470	1149	1658	+	510	4
3108_1	k141_4370	3	998	-	996	22
3108_2	k141_4370	1161	2435	-	1275	34
3109_1	k141_61005	2	460	-	459	5
3109_2	k141_61005	590	898	-	309	5
3110_1	k141_53791	1	294	+	294	19
3110_2	k141_53791	420	563	+	144	15
3110_3	k141_53791	902	1465	-	564	42
3110_4	k141_53791	1874	2929	+	1056	77
3110_5	k141_53791	3149	3334	+	186	9
3110_6	k141_53791	3331	3732	+	402	38
3110_7	k141_53791	3827	4045	+	219	12
3110_8	k141_53791	4130	4768	-	639	164
3110_9	k141_53791	5193	6371	+	1179	254
3110_10	k141_53791	6447	7220	+	774	149
3110_11	k141_53791	7171	7689	+	519	69
3110_12	k141_53791	7732	9372	-	1641	375
3110_13	k141_53791	9724	10131	+	408	127
3110_14	k141_53791	10406	13942	+	3537	714
3110_15	k141_53791	14415	17150	+	2736	434
3110_16	k141_53791	17461	18396	+	936	132
3110_17	k141_53791	18410	18826	+	417	41
3110_18	k141_53791	18851	19903	+	1053	137
3110_19	k141_53791	19903	20445	+	543	50
3110_20	k141_53791	20491	21267	+	777	129
3110_21	k141_53791	21278	21658	+	381	42
3110_22	k141_53791	21651	22250	+	600	114
3110_23	k141_53791	22557	23888	+	1332	244
3110_24	k141_53791	24002	27001	+	3000	573
3110_25	k141_53791	27260	29842	+	2583	437
3110_26	k141_53791	29845	30336	+	492	59
3110_27	k141_53791	30676	32949	+	2274	461
3110_28	k141_53791	32965	33849	+	885	140
3110_29	k141_53791	33846	34346	+	501	47
3110_30	k141_53791	34343	35221	+	879	123
3110_31	k141_53791	35181	35897	+	717	115
3110_32	k141_53791	35904	36590	+	687	108
3110_33	k141_53791	36759	37460	-	702	77
3110_34	k141_53791	37619	37735	-	117	8
3110_35	k141_53791	37949	38410	-	462	20
3111_1	k141_22144	2	82	-	81	0
3111_2	k141_22144	159	539	-	381	16
3111_3	k141_22144	834	1256	+	423	18
3111_4	k141_22144	1257	1907	+	651	20
3111_5	k141_22144	1925	2608	+	684	30
3111_6	k141_22144	2620	3102	+	483	15
3111_7	k141_22144	3219	4823	-	1605	54
3111_8	k141_22144	4841	5560	-	720	29
3111_9	k141_22144	5659	6351	+	693	20
3111_10	k141_22144	6419	6910	+	492	19
3111_11	k141_22144	6973	7452	+	480	7
3111_12	k141_22144	7959	8204	+	246	0
3112_1	k141_25471	3	533	-	531	13
3112_2	k141_25471	855	1223	-	369	8
3113_1	k141_18487	3	260	+	258	6
3113_2	k141_18487	389	880	+	492	15
3113_3	k141_18487	877	1329	+	453	20
3114_1	k141_57279	2	142	+	141	2
3114_2	k141_57279	367	1194	-	828	13
3115_1	k141_25472	2	595	+	594	5
3115_2	k141_25472	779	1240	+	462	15
3116_1	k141_53793	231	461	-	231	21
3116_2	k141_53793	613	1011	-	399	14
3117_1	k141_36201	34	1101	-	1068	16
3118_1	k141_22147	3	1139	+	1137	27
3119_1	k141_67982	1	1341	-	1341	37
3119_2	k141_67982	1338	1637	-	300	18
3120_1	k141_7733	2	1744	-	1743	60
3120_2	k141_7733	2119	3642	-	1524	39
3121_1	k141_46559	1	1131	-	1131	44
3121_2	k141_46559	1362	1544	-	183	0
3122_1	k141_25474	3	776	-	774	186
3122_2	k141_25474	895	1695	-	801	74
3123_1	k141_43403	1	597	-	597	18
3123_2	k141_43403	743	2005	-	1263	29
3123_3	k141_43403	2013	3776	-	1764	81
3123_4	k141_43403	3788	5392	-	1605	79
3124_1	k141_57280	3	146	+	144	1
3124_2	k141_57280	158	931	+	774	36
3124_3	k141_57280	928	2616	+	1689	67
3124_4	k141_57280	2634	2987	+	354	6
3125_1	k141_29182	2	397	+	396	26
3125_2	k141_29182	370	1455	+	1086	16
3125_3	k141_29182	1620	1808	+	189	9
3125_4	k141_29182	2095	2673	-	579	63
3125_5	k141_29182	2777	3130	+	354	13
3125_6	k141_29182	3156	3428	+	273	31
3125_7	k141_29182	3444	4223	+	780	79
3125_8	k141_29182	4347	4841	+	495	30
3125_9	k141_29182	4865	6544	+	1680	111
3125_10	k141_29182	6558	9185	+	2628	295
3125_11	k141_29182	9277	9567	+	291	38
3125_12	k141_29182	9554	9715	+	162	26
3125_13	k141_29182	10196	10798	+	603	54
3126_1	k141_67986	2	1201	-	1200	46
3126_2	k141_67986	1399	1632	-	234	8
3127_1	k141_50328	128	283	+	156	9
3127_2	k141_50328	334	432	-	99	2
3127_3	k141_50328	684	1157	+	474	13
3127_4	k141_50328	1150	1431	+	282	23
3127_5	k141_50328	1768	2856	-	1089	115
3127_6	k141_50328	2856	3302	-	447	29
3127_7	k141_50328	3374	4567	-	1194	125
3127_8	k141_50328	4587	5021	-	435	28
3127_9	k141_50328	5064	5948	-	885	83
3127_10	k141_50328	6663	6998	-	336	24
3128_1	k141_36204	3	773	+	771	8
3128_2	k141_36204	770	1705	+	936	11
3128_3	k141_36204	1711	2154	+	444	7
3129_1	k141_4382	851	1063	+	213	8
3129_2	k141_4382	1335	1835	+	501	15
3130_1	k141_22152	2	1372	-	1371	52
3131_1	k141_53803	1	636	+	636	6
3131_2	k141_53803	731	973	+	243	14
3132_1	k141_29187	485	1069	-	585	59
3133_1	k141_4386	1	519	-	519	14
3133_2	k141_4386	667	1107	-	441	30
3134_1	k141_46562	3	2198	+	2196	63
3134_2	k141_46562	2294	3313	+	1020	30
3135_1	k141_67992	1	474	+	474	6
3135_2	k141_67992	604	1122	+	519	11
3136_1	k141_53804	196	1473	+	1278	20
3136_2	k141_53804	1498	1686	+	189	2
3137_1	k141_22157	133	1344	+	1212	25
3138_1	k141_7744	2	1054	-	1053	26
3138_2	k141_7744	1099	1872	-	774	9
3139_1	k141_29192	3	1163	+	1161	22
3140_1	k141_4391	937	1074	+	138	2
3141_1	k141_36214	2	166	+	165	6
3141_2	k141_36214	174	1109	+	936	14
3141_3	k141_36214	1266	1538	+	273	18
3141_4	k141_36214	1781	2149	+	369	13
3142_1	k141_18488	1	804	+	804	84
3142_2	k141_18488	904	1449	+	546	63
3142_3	k141_18488	1449	2048	+	600	36
3142_4	k141_18488	2140	2724	-	585	46
3142_5	k141_18488	2708	2989	-	282	29
3142_6	k141_18488	3203	4135	-	933	104
3142_7	k141_18488	4359	4619	-	261	32
3142_8	k141_18488	4619	4873	-	255	27
3142_9	k141_18488	4993	6411	-	1419	160
3142_10	k141_18488	6610	6699	-	90	2
