# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_3_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_3/K21_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_3/K21_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_3/K21_1.bam	RPKM
1125_5	k141_9563	3473	3982	-	510	112	30.4567
1125_6	k141_9563	4126	5451	-	1326	273	28.5531
1125_7	k141_9563	5931	9467	+	3537	740	29.0156
1125_8	k141_9563	9949	10893	+	945	243	35.6623
1125_9	k141_9563	11082	11780	+	699	222	44.0464
1125_10	k141_9563	12237	13103	+	867	206	32.9521
1125_11	k141_9563	13177	13722	-	546	103	26.1625
1125_12	k141_9563	13753	13842	-	90	36	55.4747
1125_13	k141_9563	14152	14766	-	615	166	37.4341
1125_14	k141_9563	14859	16196	-	1338	237	24.5656
1125_15	k141_9563	16304	16951	-	648	140	29.9632
1125_16	k141_9563	17577	18215	-	639	225	48.8333
1125_17	k141_9563	18375	19964	-	1590	420	36.6342
1125_18	k141_9563	20222	21292	-	1071	332	42.9916
1125_19	k141_9563	22219	23484	+	1266	261	28.5918
1125_20	k141_9563	23746	23913	+	168	28	23.1144
1125_21	k141_9563	23910	24077	+	168	37	30.5441
1125_22	k141_9563	24078	24251	+	174	75	59.7787
1125_23	k141_9563	24953	25435	-	483	188	53.9816
1125_24	k141_9563	25682	29227	-	3546	762	29.8024
1125_25	k141_9563	29277	29441	+	165	59	49.591
1125_26	k141_9563	29866	30789	+	924	203	30.469
1125_27	k141_9563	30797	31084	+	288	90	43.3396
1125_28	k141_9563	31338	32795	+	1458	296	28.1559
1125_29	k141_9563	32795	33406	+	612	74	16.7693
1125_30	k141_9563	33393	36800	+	3408	759	30.8871
1125_31	k141_9563	36784	37965	+	1182	242	28.3944
1125_32	k141_9563	38272	38640	+	369	143	53.7458
1126_1	k141_325	2	295	-	294	0	0
1126_2	k141_325	323	1966	-	1644	4	0.337437
1126_3	k141_325	1985	5107	-	3123	10	0.444082
1127_1	k141_327	1	1140	-	1140	0	0
1128_1	k141_11702	310	654	-	345	11	4.42189
1128_2	k141_11702	694	948	-	255	9	4.89482
1128_3	k141_11702	2143	4659	+	2517	45	2.4795
1128_4	k141_11702	4810	5085	-	276	4	2.00995
1128_5	k141_11702	5123	5587	-	465	7	2.08776
1128_6	k141_11702	5637	6161	-	525	9	2.37749
1128_7	k141_11702	6273	7460	-	1188	13	1.51762
1128_8	k141_11702	7448	9274	-	1827	17	1.29046
1128_9	k141_11702	9284	10297	-	1014	9	1.23095
1128_10	k141_11702	10309	10626	-	318	2	0.872243
1128_11	k141_11702	10623	10973	-	351	7	2.76583
1128_12	k141_11702	10970	11233	-	264	1	0.525328
1128_13	k141_11702	11246	11425	-	180	2	1.54096
1128_14	k141_11702	11539	11778	-	240	2	1.15572
1128_15	k141_11702	11922	12557	+	636	6	1.30837
1128_16	k141_11702	12686	13630	+	945	21	3.08193
1128_17	k141_11702	13652	14284	+	633	23	5.03917
1128_18	k141_11702	14440	14805	+	366	16	6.06281
1128_19	k141_11702	14873	15232	+	360	14	5.39337
1128_20	k141_11702	15235	15954	+	720	11	2.11882
1128_21	k141_11702	15971	16549	+	579	17	4.07198
1128_22	k141_11702	16546	16896	+	351	8	3.16095
1128_23	k141_11702	16893	17201	+	309	8	3.59059
1128_24	k141_11702	17204	17761	+	558	11	2.73397
1128_25	k141_11702	17761	19098	+	1338	24	2.48765
1128_26	k141_11702	19092	20642	+	1551	38	3.39787
1128_27	k141_11702	20635	21876	+	1242	33	3.68491
1128_28	k141_11702	22194	23291	+	1098	23	2.90509
1128_29	k141_11702	23272	23652	+	381	3	1.09202
1128_30	k141_11702	23662	24546	+	885	16	2.50733
1128_31	k141_11702	24555	24743	+	189	3	2.20138
1128_32	k141_11702	24748	25182	+	435	4	1.27528
1128_33	k141_11702	25185	25763	+	579	5	1.19764
1128_34	k141_11702	25756	26220	+	465	1	0.298251
1128_35	k141_11702	26207	26602	+	396	7	2.45153
1128_36	k141_11702	26616	27545	+	930	13	1.93863
1128_37	k141_11702	27574	28017	+	444	10	3.12357
1128_38	k141_11702	28062	28418	+	357	5	1.94239
1128_39	k141_11702	28415	33850	+	5436	74	1.88794
1128_40	k141_11702	33847	34746	+	900	13	2.00325
1128_41	k141_11702	34746	35255	+	510	10	2.71935
1128_42	k141_11702	35290	35958	+	669	8	1.65844
1128_43	k141_11702	35962	36597	+	636	16	3.48897
1128_44	k141_11702	36606	37544	+	939	25	3.6924
1128_45	k141_11702	37554	38180	+	627	12	2.65429
1128_46	k141_11702	38177	38413	+	237	3	1.75553
1128_47	k141_11702	38618	38836	+	219	3	1.89982
1128_48	k141_11702	38787	39650	+	864	18	2.88931
1128_49	k141_11702	39647	40372	+	726	12	2.29234
1128_50	k141_11702	40463	41218	+	756	22	4.03586
1128_51	k141_11702	41233	42477	+	1245	10	1.11395
1128_52	k141_11702	42474	43307	+	834	33	5.4876
1128_53	k141_11702	43320	44381	+	1062	50	6.52951
1128_54	k141_11702	44384	44977	+	594	18	4.20263
1128_55	k141_11702	44974	45894	+	921	26	3.91515
1128_56	k141_11702	46888	47979	+	1092	32	4.06408
1128_57	k141_11702	48250	48444	-	195	10	7.11214
1128_58	k141_11702	48441	48704	-	264	9	4.72796
1128_59	k141_11702	48735	48971	-	237	3	1.75553
1128_60	k141_11702	49567	50745	-	1179	30	3.52892
1128_61	k141_11702	51269	52891	+	1623	25	2.13627
1128_62	k141_11702	53072	53269	-	198	2	1.40088
1128_63	k141_11702	53454	54005	+	552	13	3.26617
1128_64	k141_11702	54247	56550	-	2304	40	2.40776
1128_65	k141_11702	56562	58193	-	1632	22	1.86955
1128_66	k141_11702	58181	59287	-	1107	21	2.63091
1128_67	k141_11702	59804	62509	+	2706	78	3.99762
1128_68	k141_11702	62774	64171	-	1398	35	3.47213
1128_69	k141_11702	64331	64774	-	444	2	0.624715
1128_70	k141_11702	64771	66873	-	2103	14	0.923259
1128_71	k141_11702	67055	67303	-	249	6	3.34185
1128_72	k141_11702	67358	69604	-	2247	64	3.95013
1128_73	k141_11702	69601	69834	-	234	12	7.11214
1128_74	k141_11702	70230	71603	+	1374	33	3.3309
1128_75	k141_11702	71628	72185	+	558	4	0.99417
1128_76	k141_11702	72393	73025	-	633	16	3.50551
1128_77	k141_11702	73346	74185	-	840	14	2.31144
1128_78	k141_11702	74154	74540	-	387	1	0.358364
1128_79	k141_11702	74533	75171	-	639	6	1.30222
1128_80	k141_11702	75255	75767	-	513	5	1.35172
1128_81	k141_11702	75764	76297	-	534	7	1.81799
1128_82	k141_11702	76444	77847	-	1404	26	2.56827
1128_83	k141_11702	77847	78629	-	783	16	2.83396
1128_84	k141_11702	78607	79158	-	552	8	2.00995
1128_85	k141_11702	79296	81440	-	2145	42	2.71554
1128_86	k141_11702	81440	82834	-	1395	50	4.97085
1128_87	k141_11702	82973	83434	-	462	11	3.30206
1128_88	k141_11702	83588	84034	-	447	3	0.930783
1128_89	k141_11702	84059	84472	-	414	3	1.00498
1128_90	k141_11702	84469	85698	-	1230	9	1.01478
1130_1	k141_39584	3	188	-	186	84	62.6327
1130_2	k141_39584	223	345	-	123	37	41.7188
1130_3	k141_39584	553	2358	-	1806	519	39.8551
1130_4	k141_39584	2777	4450	-	1674	432	35.7901
1130_5	k141_39584	4588	5196	-	609	144	32.7929
1130_6	k141_39584	5206	6804	-	1599	326	28.2751
1130_7	k141_39584	6873	7202	-	330	67	28.1576
1130_8	k141_39584	7238	9739	-	2502	595	32.981
1130_9	k141_39584	9970	10293	-	324	104	44.5167
1130_10	k141_39584	10467	11846	+	1380	368	36.9831
1130_11	k141_39584	11930	13792	-	1863	125	9.30533
1130_12	k141_39584	13895	14386	+	492	88	24.8058
1130_13	k141_39584	14383	15525	+	1143	203	24.6311
1130_14	k141_39584	15653	17329	+	1677	346	28.614
1130_15	k141_39584	17421	18242	+	822	198	33.4063
1130_16	k141_39584	18266	18649	+	384	96	34.6717
1130_17	k141_39584	18628	19683	+	1056	196	25.7411
1130_18	k141_39584	19680	20780	+	1101	211	26.5785
1130_19	k141_39584	20806	20982	-	177	75	58.7655
1131_1	k141_2539	3	149	-	147	0	0
1131_2	k141_2539	195	1343	-	1149	0	0
1131_3	k141_2539	1433	2335	+	903	0	0
1132_1	k141_328	149	1522	-	1374	0	0
1132_2	k141_328	1535	1675	-	141	0	0
1133_1	k141_39585	2	328	-	327	0	0
1133_2	k141_39585	412	1344	+	933	15	2.22969
1134_1	k141_9567	1	537	+	537	0	0
1134_2	k141_9567	534	1301	+	768	0	0
1134_3	k141_9567	1288	1413	+	126	0	0
1135_1	k141_2543	1	1326	+	1326	449	46.961
1136_1	k141_37318	129	1316	+	1188	23	2.68501
1136_2	k141_37318	1279	1545	+	267	2	1.03885
1136_3	k141_37318	1548	1709	+	162	1	0.856091
1136_4	k141_37318	1769	2023	+	255	3	1.63161
1136_5	k141_37318	2028	2366	+	339	8	3.27284
1136_6	k141_37318	2359	2715	+	357	3	1.16543
1136_7	k141_37318	2718	3419	+	702	5	0.987797
1136_8	k141_37318	3416	3571	+	156	0	0
1136_9	k141_37318	3589	4155	+	567	11	2.69057
1136_10	k141_37318	4219	4809	+	591	5	1.17332
1136_11	k141_37318	5154	5636	+	483	15	4.30704
1136_12	k141_37318	5662	6381	+	720	3	0.577861
1136_13	k141_37318	6426	7607	-	1182	9	1.05599
1137_1	k141_9571	3	230	-	228	0	0
1137_2	k141_9571	227	787	-	561	0	0
1137_3	k141_9571	909	1490	+	582	0	0
1138_1	k141_11706	165	1394	-	1230	445	50.1753
1138_2	k141_11706	1441	2283	-	843	74	12.1742
1138_3	k141_11706	2494	2652	+	159	14	12.2114
1138_4	k141_11706	2649	2777	+	129	14	15.0513
1139_1	k141_18642	1	1767	-	1767	243	19.0724
1139_2	k141_18642	1790	2980	-	1191	175	20.378
1139_3	k141_18642	3011	4354	-	1344	155	15.9944
1139_4	k141_18642	4365	6251	-	1887	252	18.521
1139_5	k141_18642	6285	6668	-	384	65	23.4756
1139_6	k141_18642	6858	8081	-	1224	151	17.1092
1139_7	k141_18642	8099	9748	-	1650	192	16.1381
1139_8	k141_18642	9902	11839	-	1938	309	22.1126
1139_9	k141_18642	11981	12064	-	84	1	1.65103
1140_1	k141_9572	3	800	-	798	0	0
1140_2	k141_9572	772	1206	-	435	0	0
1141_1	k141_37319	2	2284	+	2283	0	0
1142_1	k141_14201	460	2382	-	1923	101	7.28412
1142_2	k141_14201	2626	3417	-	792	39	6.82927
1142_3	k141_14201	4207	5142	+	936	36	5.3341
1142_4	k141_14201	6347	6793	-	447	15	4.65392
1142_5	k141_14201	6891	7493	-	603	5	1.14997
1142_6	k141_14201	7546	8982	-	1437	66	6.36974
1142_7	k141_14201	9715	14364	+	4650	150	4.47376
1142_8	k141_14201	14744	15670	-	927	32	4.78746
1142_9	k141_14201	15674	16195	-	522	17	4.51662
1142_10	k141_14201	16409	17176	+	768	31	5.59803
1142_11	k141_14201	17566	19053	+	1488	46	4.28736
1142_12	k141_14201	19499	20623	-	1125	33	4.06814
1142_13	k141_14201	20626	21618	-	993	29	4.05027
1142_14	k141_14201	21815	22618	-	804	40	6.89984
1142_15	k141_14201	22725	22841	-	117	12	14.2243
1142_16	k141_14201	23136	23585	+	450	22	6.78024
1142_17	k141_14201	24320	24718	+	399	19	6.60413
1142_18	k141_14201	24803	25234	+	432	16	5.13654
1142_19	k141_14201	25446	27848	-	2403	70	4.03998
1142_20	k141_14201	27851	28630	-	780	19	3.37827
1142_21	k141_14201	28624	29271	-	648	26	5.56459
1142_22	k141_14201	29617	30327	+	711	21	4.09623
1142_23	k141_14201	30946	32262	+	1317	35	3.68568
1142_24	k141_14201	32281	33732	+	1452	32	3.05646
1142_25	k141_14201	33855	34151	+	297	1	0.466959
1142_26	k141_14201	34154	35860	+	1707	61	4.956
1142_27	k141_14201	35950	36039	-	90	2	3.08193
1142_28	k141_14201	36168	36692	+	525	8	2.11332
1142_29	k141_14201	36809	37093	-	285	18	8.75916
1142_30	k141_14201	37214	39541	-	2328	83	4.94459
1142_31	k141_14201	39532	40047	-	516	9	2.41895
1142_32	k141_14201	40111	40884	-	774	26	4.65873
1142_33	k141_14201	40884	42542	-	1659	75	6.26974
1142_34	k141_14201	42539	43675	-	1137	28	3.41533
1142_35	k141_14201	43675	44673	-	999	38	5.27537
1142_36	k141_14201	44710	45900	-	1191	60	6.98674
1142_37	k141_14201	45910	46086	-	177	3	2.35062
1142_38	k141_14201	46086	46439	-	354	15	5.87655
1142_39	k141_14201	46648	47610	-	963	52	7.48879
1142_40	k141_14201	47620	48054	-	435	12	3.82584
1142_41	k141_14201	48066	48488	-	423	9	2.95078
1142_42	k141_14201	48630	49574	-	945	21	3.08193
1142_43	k141_14201	49808	50929	-	1122	34	4.20263
1142_44	k141_14201	51238	51642	+	405	21	7.19116
1142_45	k141_14201	51736	53280	+	1545	54	4.8473
1142_46	k141_14201	53581	55596	+	2016	55	3.78362
1142_47	k141_14201	55556	56194	-	639	15	3.25556
1142_48	k141_14201	56539	58047	-	1509	66	6.06582
1142_49	k141_14201	58295	58558	+	264	0	0
1142_50	k141_14201	58587	59567	-	981	17	2.40334
1142_51	k141_14201	59599	61092	-	1494	31	2.8777
1142_52	k141_14201	61102	61587	-	486	22	6.278
1142_53	k141_14201	61693	62166	-	474	15	4.38882
1142_54	k141_14201	63308	64702	-	1395	54	5.36852
1142_55	k141_14201	64864	66165	-	1302	46	4.89984
1142_56	k141_14201	66165	66671	-	507	13	3.55607
1142_57	k141_14201	66731	67729	-	999	24	3.33181
1142_58	k141_14201	68000	68833	-	834	56	9.3123
1142_59	k141_14201	69452	70360	-	909	29	4.42455
1143_1	k141_9573	345	1472	+	1128	0	0
1144_1	k141_11711	2	985	+	984	2	0.281884
1144_2	k141_11711	1125	1319	+	195	0	0
1144_3	k141_11711	1332	1874	+	543	0	0
1144_4	k141_11711	1949	2362	+	414	0	0
1145_1	k141_37321	115	1158	-	1044	0	0
1146_1	k141_39598	450	1133	+	684	0	0
1147_1	k141_14203	65	1051	+	987	2	0.281027
1148_1	k141_20959	93	740	+	648	600	128.414
1148_2	k141_20959	737	1708	+	972	506	72.197
1148_3	k141_20959	1837	4011	-	2175	505	32.2008
1148_4	k141_20959	4014	5570	-	1557	336	29.9285
1148_5	k141_20959	6267	7808	-	1542	302	27.1617
1148_6	k141_20959	8693	10300	-	1608	383	33.033
1148_7	k141_20959	10440	10901	-	462	130	39.0244
1148_8	k141_20959	10921	11073	-	153	45	40.7902
1148_9	k141_20959	12028	13287	-	1260	327	35.9925
1148_10	k141_20959	13284	13943	-	660	135	28.3677
1148_11	k141_20959	14011	14658	-	648	143	30.6052
1148_12	k141_20959	14850	15572	-	723	170	32.6096
1148_13	k141_20959	15602	17059	-	1458	333	31.6754
1148_14	k141_20959	17441	19495	-	2055	494	33.3388
1148_15	k141_20959	20232	20423	+	192	74	53.4522
1148_16	k141_20959	20696	21247	+	552	162	40.7015
1148_17	k141_20959	21440	23338	-	1899	490	35.7854
1148_18	k141_20959	23730	25625	-	1896	451	32.9893
1148_19	k141_20959	25796	26224	-	429	145	46.8755
1148_20	k141_20959	26762	27115	-	354	99	38.7853
1148_21	k141_20959	27405	28748	-	1344	320	33.0206
1148_22	k141_20959	28992	30002	-	1011	219	30.0419
1148_23	k141_20959	30006	30590	-	585	70	16.595
1148_24	k141_20959	30590	31918	-	1329	285	29.7409
1148_25	k141_20959	32201	34087	-	1887	403	29.6188
1148_26	k141_20959	34648	35241	-	594	184	42.9602
1148_27	k141_20959	35408	36085	-	678	134	27.4101
1148_28	k141_20959	36487	37749	-	1263	271	29.7578
1148_29	k141_20959	37733	38455	-	723	126	24.1695
1148_30	k141_20959	38452	38988	-	537	135	34.8654
1148_31	k141_20959	39253	39882	-	630	162	35.6623
1148_32	k141_20959	40495	42288	+	1794	451	34.8649
1148_33	k141_20959	42736	44223	+	1488	355	33.0872
1148_34	k141_20959	44220	44801	+	582	128	30.5015
1148_35	k141_20959	45281	46585	-	1305	405	43.0407
1148_36	k141_20959	46847	48232	-	1386	400	40.025
1148_37	k141_20959	48686	49426	-	741	194	36.3093
1148_38	k141_20959	49862	50425	+	564	144	35.4094
1148_39	k141_20959	50715	51929	-	1215	256	29.2212
1148_40	k141_20959	51995	52762	-	768	190	34.3105
1148_41	k141_20959	53156	53749	-	594	209	48.7972
1148_42	k141_20959	53952	55439	-	1488	337	31.4096
1148_43	k141_20959	55678	56070	-	393	83	29.2901
1148_44	k141_20959	56093	56533	-	441	134	42.1406
1148_45	k141_20959	56769	60581	-	3813	827	30.0797
1148_46	k141_20959	61064	61915	-	852	256	41.6711
1148_47	k141_20959	62552	63814	-	1263	309	33.9305
1149_1	k141_34946	2	244	+	243	0	0
1149_2	k141_34946	435	1232	-	798	0	0
1149_3	k141_34946	1235	2095	-	861	0	0
1149_4	k141_34946	2095	3207	-	1113	0	0
1149_5	k141_34946	3213	4226	-	1014	0	0
1149_6	k141_34946	4474	5193	-	720	0	0
1149_7	k141_34946	5322	6437	+	1116	0	0
1149_8	k141_34946	6447	7256	+	810	0	0
1149_9	k141_34946	7289	8470	-	1182	0	0
1149_10	k141_34946	8683	9042	+	360	0	0
1149_11	k141_34946	9026	9349	+	324	0	0
1149_12	k141_34946	9432	9884	-	453	0	0
1149_13	k141_34946	10062	11453	-	1392	0	0
1149_14	k141_34946	11599	12918	-	1320	7	0.73546
1149_15	k141_34946	12928	14430	-	1503	6	0.55364
1149_16	k141_34946	14427	15020	-	594	0	0
1149_17	k141_34946	15203	15493	-	291	0	0
1149_18	k141_34946	15497	17185	-	1689	7	0.574782
1149_19	k141_34946	17965	18054	+	90	0	0
1149_20	k141_34946	18126	18572	+	447	0	0
1149_21	k141_34946	18643	19476	+	834	0	0
1149_22	k141_34946	19654	20838	+	1185	0	0
1149_23	k141_34946	21051	21980	-	930	0	0
1149_24	k141_34946	22204	23541	+	1338	2	0.207304
1149_25	k141_34946	23559	24887	+	1329	0	0
1149_26	k141_34946	24941	25471	-	531	0	0
1149_27	k141_34946	25468	25830	-	363	0	0
1149_28	k141_34946	25820	26167	-	348	0	0
1149_29	k141_34946	26348	27670	-	1323	0	0
1149_30	k141_34946	27667	29289	-	1623	0	0
1149_31	k141_34946	29631	30377	+	747	0	0
1149_32	k141_34946	30345	32006	-	1662	21	1.75236
1149_33	k141_34946	32203	32631	-	429	4	1.29312
1149_34	k141_34946	32750	33163	-	414	1	0.334992
1149_35	k141_34946	33412	33864	+	453	0	0
1149_36	k141_34946	33866	35092	-	1227	10	1.13029
1149_37	k141_34946	35144	36436	-	1293	13	1.39438
1149_38	k141_34946	36657	37805	-	1149	0	0
1149_39	k141_34946	37802	38419	-	618	3	0.673236
1149_40	k141_34946	38403	39278	-	876	0	0
1149_41	k141_34946	39275	39964	-	690	22	4.42189
1149_42	k141_34946	40206	41018	-	813	3	0.511759
1149_43	k141_34946	41134	42159	-	1026	0	0
1149_44	k141_34946	42270	43205	+	936	0	0
1149_45	k141_34946	43238	45664	-	2427	14	0.800006
1150_1	k141_39600	1	249	+	249	0	0
1150_2	k141_39600	197	532	-	336	0	0
1150_3	k141_39600	529	1455	-	927	0	0
1150_4	k141_39600	1452	2090	-	639	0	0
1151_1	k141_2547	1	321	-	321	10	4.32046
1151_2	k141_2547	567	2408	-	1842	161	12.1219
1151_3	k141_2547	2421	5765	-	3345	327	13.5577
1151_4	k141_2547	5997	6785	-	789	61	10.7223
1152_1	k141_18643	220	3009	-	2790	431	21.4244
1152_2	k141_18643	3690	5087	-	1398	283	28.0746
1152_3	k141_18643	5416	6096	+	681	152	30.955
1153_1	k141_14207	134	895	-	762	15	2.73005
1153_2	k141_14207	907	1191	-	285	6	2.91972
1154_1	k141_5006	173	2689	-	2517	48	2.6448
1154_2	k141_5006	2976	3284	-	309	2	0.897649
1154_3	k141_5006	3417	4202	-	786	6	1.05868
1154_4	k141_5006	4336	5688	-	1353	16	1.64005
1154_5	k141_5006	5729	6415	-	687	7	1.41311
1154_6	k141_5006	6419	7009	-	591	5	1.17332
1154_7	k141_5006	7189	7698	-	510	19	5.16676
1154_8	k141_5006	7839	8339	-	501	7	1.93774
1154_9	k141_5006	8336	8917	-	582	18	4.28928
1154_10	k141_5006	8924	9487	-	564	1	0.245898
1155_1	k141_34947	2	262	+	261	0	0
1155_2	k141_34947	264	1196	+	933	0	0
1156_1	k141_37332	3	1208	+	1206	0	0
1157_1	k141_39601	2	460	+	459	0	0
1157_2	k141_39601	486	1892	+	1407	1	0.0985691
1158_1	k141_37333	1	324	-	324	0	0
1158_2	k141_37333	523	1077	+	555	0	0
1159_1	k141_34949	2	1162	+	1161	15	1.79182
1159_2	k141_34949	1197	1481	+	285	54	26.2775
1160_1	k141_34952	3	725	+	723	1005	192.78
1160_2	k141_34952	780	1292	+	513	155	41.9034
1161_1	k141_18650	51	1748	+	1698	0	0
1161_2	k141_18650	1971	3359	+	1389	0	0
1162_1	k141_2551	284	1948	-	1665	243	20.2408
1162_2	k141_2551	2160	2642	-	483	98	28.1393
1162_3	k141_2551	2889	3203	+	315	61	26.8568
1162_4	k141_2551	3372	3581	+	210	74	48.8705
1162_5	k141_2551	4459	4773	-	315	53	23.3346
1163_1	k141_14219	2	1171	+	1170	0	0
1163_2	k141_14219	1190	2035	+	846	0	0
1163_3	k141_14219	2185	2613	+	429	0	0
1163_4	k141_14219	2576	3103	+	528	0	0
1164_1	k141_18652	19	282	-	264	77	40.4503
1164_2	k141_18652	290	1531	-	1242	114	12.7297
1164_3	k141_18652	1656	1910	-	255	52	28.2812
1165_1	k141_5008	1	354	+	354	34	13.3202
1165_2	k141_5008	420	1184	+	765	129	23.3864
1165_3	k141_5008	1360	3348	-	1989	284	19.8024
1165_4	k141_5008	3352	4143	-	792	90	15.7599
1165_5	k141_5008	4189	5424	-	1236	114	12.7915
1165_6	k141_5008	5443	6639	-	1197	140	16.2207
1165_7	k141_5008	6652	7566	-	915	100	15.157
1165_8	k141_5008	7872	9077	+	1206	144	16.5596
1166_1	k141_14222	3	371	-	369	0	0
1166_2	k141_14222	444	1160	-	717	14	2.70797
1166_3	k141_14222	1437	1682	+	246	7	3.94637
1166_4	k141_14222	1731	1904	+	174	3	2.39115
1166_5	k141_14222	2399	2857	-	459	6	1.8129
1167_1	k141_2557	1	174	+	174	0	0
1167_2	k141_2557	200	1528	+	1329	0	0
1168_1	k141_37339	50	766	+	717	4	0.773705
1168_2	k141_37339	1441	1911	+	471	2	0.588903
1168_3	k141_37339	1975	5061	+	3087	2	0.0898521
1168_4	k141_37339	5595	5798	+	204	0	0
1169_1	k141_39602	1	723	+	723	0	0
1169_2	k141_39602	853	1341	-	489	0	0
1169_3	k141_39602	1366	2070	-	705	0	0
1169_4	k141_39602	2189	4786	+	2598	0	0
1169_5	k141_39602	5211	5543	+	333	0	0
1169_6	k141_39602	5560	6792	+	1233	0	0
1169_7	k141_39602	6880	7539	-	660	0	0
1169_8	k141_39602	7585	9042	-	1458	0	0
1169_9	k141_39602	9058	9519	-	462	0	0
1169_10	k141_39602	9550	10410	+	861	0	0
1170_1	k141_5012	1	582	-	582	0	0
1170_2	k141_5012	591	1100	-	510	0	0
1171_1	k141_14226	2	871	+	870	0	0
1171_2	k141_14226	873	1235	+	363	1	0.382057
1172_1	k141_14227	63	1031	-	969	0	0
1173_1	k141_2563	44	496	-	453	0	0
1173_2	k141_2563	493	1257	-	765	1	0.18129
1174_1	k141_5018	1	1107	+	1107	0	0
1175_1	k141_2566	242	460	-	219	35	22.1645
1175_2	k141_2566	683	1048	-	366	23	8.71528
1176_1	k141_34953	2	1375	-	1374	0	0
1176_2	k141_34953	1395	1523	-	129	0	0
1176_3	k141_34953	1675	3492	-	1818	1	0.0762853
1176_4	k141_34953	3583	3708	-	126	0	0
1176_5	k141_34953	4079	5971	+	1893	0	0
1176_6	k141_34953	6028	6552	+	525	0	0
1176_7	k141_34953	6665	8485	+	1821	0	0
1176_8	k141_34953	8577	9029	+	453	0	0
1176_9	k141_34953	9029	9364	+	336	0	0
1176_10	k141_34953	9354	10256	+	903	0	0
1176_11	k141_34953	10407	11381	-	975	0	0
1177_1	k141_9577	1	744	-	744	4	0.745627
1177_2	k141_9577	757	3978	-	3222	0	0
1177_3	k141_9577	4027	5025	-	999	0	0
1177_4	k141_9577	5122	5736	-	615	2	0.451014
1177_5	k141_9577	5742	6641	-	900	0	0
1177_6	k141_9577	6736	7521	+	786	1	0.176446
1177_7	k141_9577	7648	10527	-	2880	0	0
1177_8	k141_9577	10511	11995	-	1485	0	0
1177_9	k141_9577	12090	13757	-	1668	0	0
1177_10	k141_9577	13781	17128	-	3348	1	0.0414237
1177_11	k141_9577	17278	18228	-	951	0	0
1177_12	k141_9577	18261	20249	-	1989	4	0.278907
1177_13	k141_9577	20351	20905	-	555	4	0.999544
1177_14	k141_9577	21040	21483	-	444	0	0
1178_1	k141_44287	71	880	+	810	1300	222.584
1178_2	k141_44287	935	1399	-	465	423	126.16
1178_3	k141_44287	1399	1734	-	336	343	141.576
1178_4	k141_44287	1883	3454	-	1572	1715	151.303
1178_5	k141_44287	3829	5163	+	1335	1327	137.856
1178_6	k141_44287	5179	5949	+	771	586	105.409
1178_7	k141_44287	5979	6869	+	891	875	136.196
1178_8	k141_44287	6966	8111	+	1146	1192	144.254
1178_9	k141_44287	9610	10548	+	939	1056	155.967
1178_10	k141_44287	10647	11636	+	990	970	135.885
1178_11	k141_44287	11658	12989	+	1332	1288	134.105
1178_12	k141_44287	13015	14223	+	1209	1092	125.265
1178_13	k141_44287	14257	16551	+	2295	2421	146.301
1178_14	k141_44287	16565	16954	+	390	322	114.505
1178_15	k141_44287	17026	18390	+	1365	1556	158.093
1178_16	k141_44287	18668	19999	+	1332	1272	132.44
1178_17	k141_44287	20027	21337	+	1311	1312	138.792
1178_18	k141_44287	21471	21635	-	165	82	68.9231
1178_19	k141_44287	21658	22359	-	702	749	147.972
1178_20	k141_44287	22464	23360	+	897	638	98.6423
1178_21	k141_44287	23394	23762	-	369	399	149.962
1178_22	k141_44287	24045	25031	-	987	1009	141.778
1178_23	k141_44287	25101	25583	-	483	359	103.082
1178_24	k141_44287	25680	25979	-	300	245	113.261
1178_25	k141_44287	25969	26373	-	405	317	108.552
1178_26	k141_44287	26376	26681	-	306	200	90.6449
1178_27	k141_44287	26719	27087	-	369	402	151.09
1178_28	k141_44287	27234	27617	-	384	360	130.019
1178_29	k141_44287	27621	28283	-	663	605	126.554
1178_30	k141_44287	28628	29404	-	777	693	123.694
1178_31	k141_44287	29534	30832	-	1299	1665	177.762
1178_32	k141_44287	31315	32727	+	1413	1689	165.776
1178_33	k141_44287	32742	34229	+	1488	1516	141.296
1178_34	k141_44287	34312	34863	+	552	368	92.4578
1178_35	k141_44287	34867	36111	-	1245	1401	156.064
1178_36	k141_44287	36435	37400	-	966	1182	169.697
1178_37	k141_44287	37684	38670	-	987	1068	150.068
1178_38	k141_44287	38749	39441	-	693	675	135.084
1178_39	k141_44287	39518	40021	-	504	488	134.284
1178_40	k141_44287	40106	41242	+	1137	1327	161.862
1178_41	k141_44287	41513	41929	+	417	421	140.017
1178_42	k141_44287	41974	43992	-	2019	2259	155.172
1178_43	k141_44287	44218	46569	-	2352	2646	156.023
1178_44	k141_44287	46586	47656	-	1071	948	122.759
1178_45	k141_44287	47790	49223	-	1434	1344	129.983
1178_46	k141_44287	49286	49735	-	450	318	98.0053
