# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_3_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_3/K21_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_3/K21_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_3/K21_1.bam
2313_43	k141_9771	47057	48094	-	1038	62
2313_44	k141_9771	48096	49451	-	1356	83
2313_45	k141_9771	49435	50040	-	606	34
2313_46	k141_9771	50006	50650	-	645	35
2313_47	k141_9771	50611	50883	-	273	13
2313_48	k141_9771	50891	51391	-	501	27
2313_49	k141_9771	51388	53706	-	2319	150
2313_50	k141_9771	53708	54754	-	1047	66
2313_51	k141_9771	54827	56191	-	1365	77
2313_52	k141_9771	56202	56705	-	504	25
2313_53	k141_9771	56799	57281	-	483	22
2313_54	k141_9771	57278	59473	-	2196	138
2313_55	k141_9771	59482	60045	-	564	39
2313_56	k141_9771	60054	60410	-	357	26
2313_57	k141_9771	60538	60792	-	255	10
2313_58	k141_9771	60782	60985	-	204	2
2313_59	k141_9771	60989	62488	-	1500	82
2313_60	k141_9771	62489	63025	-	537	28
2313_61	k141_9771	63022	63909	-	888	44
2313_62	k141_9771	63906	64844	-	939	52
2313_63	k141_9771	64831	65511	-	681	24
2313_64	k141_9771	65511	67475	-	1965	101
2313_65	k141_9771	67538	67891	-	354	16
2313_66	k141_9771	67882	69303	-	1422	100
2313_67	k141_9771	69316	69717	-	402	21
2313_68	k141_9771	69847	75876	-	6030	443
2313_69	k141_9771	75916	76086	-	171	5
2313_70	k141_9771	76083	76343	-	261	20
2313_71	k141_9771	76346	78760	-	2415	162
2313_72	k141_9771	78760	80439	-	1680	90
2313_73	k141_9771	80439	81353	-	915	78
2313_74	k141_9771	81343	82818	-	1476	107
2313_75	k141_9771	82821	83861	-	1041	57
2313_76	k141_9771	83863	87615	-	3753	248
2313_77	k141_9771	87904	88290	-	387	29
2313_78	k141_9771	88696	89157	-	462	73
2313_79	k141_9771	89166	90479	-	1314	101
2313_80	k141_9771	90491	90844	-	354	28
2313_81	k141_9771	90924	91994	-	1071	92
2313_82	k141_9771	92015	93286	-	1272	96
2313_83	k141_9771	93339	94112	-	774	63
2313_84	k141_9771	94109	94603	-	495	34
2313_85	k141_9771	94588	95298	-	711	49
2313_86	k141_9771	95448	96785	-	1338	122
2313_87	k141_9771	97008	97541	+	534	33
2313_88	k141_9771	97541	98005	+	465	27
2313_89	k141_9771	98052	98330	+	279	16
2313_90	k141_9771	98311	98754	+	444	20
2313_91	k141_9771	98811	100769	+	1959	132
2313_92	k141_9771	100891	101478	+	588	23
2313_93	k141_9771	101560	102141	+	582	39
2313_94	k141_9771	102138	102470	+	333	12
2313_95	k141_9771	102448	103182	+	735	37
2313_96	k141_9771	103184	103369	+	186	9
2313_97	k141_9771	103405	103593	+	189	11
2313_98	k141_9771	103590	105086	+	1497	106
2313_99	k141_9771	105132	106046	-	915	49
2313_100	k141_9771	107846	108538	+	693	107
2313_101	k141_9771	108871	109197	+	327	33
2313_102	k141_9771	109181	109438	+	258	26
2313_103	k141_9771	109435	109710	+	276	25
2313_104	k141_9771	109724	109987	+	264	12
2313_105	k141_9771	109990	110166	+	177	5
2313_106	k141_9771	110178	110855	+	678	62
2313_107	k141_9771	110868	111185	+	318	27
2313_108	k141_9771	111182	111634	+	453	30
2313_109	k141_9771	111856	112233	+	378	13
2313_110	k141_9771	112235	112468	+	234	11
2313_111	k141_9771	112473	112937	+	465	24
2313_112	k141_9771	112942	113646	+	705	41
2313_113	k141_9771	113664	113873	+	210	8
2313_114	k141_9771	113892	114494	+	603	42
2313_115	k141_9771	114478	114690	+	213	4
2313_116	k141_9771	114693	115043	+	351	15
2313_117	k141_9771	115049	115306	+	258	8
2313_118	k141_9771	115269	115871	+	603	49
2313_119	k141_9771	115861	116184	+	324	17
2313_120	k141_9771	116181	117449	+	1269	108
2313_121	k141_9771	118473	118931	+	459	19
2313_122	k141_9771	118966	119955	+	990	84
2313_123	k141_9771	120034	121179	+	1146	72
2313_124	k141_9771	121244	121417	+	174	22
2313_125	k141_9771	121553	121861	+	309	24
2313_126	k141_9771	121858	122124	+	267	14
2313_127	k141_9771	122152	122850	+	699	53
2313_128	k141_9771	122906	123157	+	252	6
2313_129	k141_9771	123169	123795	+	627	39
2313_130	k141_9771	123792	125429	+	1638	101
2313_131	k141_9771	125445	125663	+	219	8
2313_132	k141_9771	125673	125849	+	177	14
2313_133	k141_9771	125870	126565	+	696	26
2313_134	k141_9771	126596	126814	+	219	9
2313_135	k141_9771	126811	126966	+	156	17
2313_136	k141_9771	127062	127685	+	624	27
2313_137	k141_9771	127705	127890	+	186	8
2313_138	k141_9771	127900	128133	+	234	10
2313_139	k141_9771	128142	128531	+	390	37
2313_140	k141_9771	128550	128753	+	204	11
2313_141	k141_9771	128772	128909	+	138	1
2313_142	k141_9771	128931	129143	+	213	4
2313_143	k141_9771	129146	129556	+	411	18
2313_144	k141_9771	129561	129740	+	180	6
2313_145	k141_9771	129748	130173	+	426	28
2313_146	k141_9771	130170	130664	+	495	46
2313_147	k141_9771	130835	131074	+	240	5
2313_148	k141_9771	131136	131552	+	417	8
2313_149	k141_9771	131558	131821	+	264	19
2313_150	k141_9771	131924	132268	+	345	13
2313_151	k141_9771	132324	132518	-	195	20
2313_152	k141_9771	132795	133448	+	654	45
2313_153	k141_9771	133494	133985	+	492	36
2313_154	k141_9771	134198	134314	+	117	8
2313_155	k141_9771	134311	134484	-	174	12
2313_156	k141_9771	134665	134829	-	165	7
2313_157	k141_9771	134884	135207	+	324	22
2313_158	k141_9771	135204	135566	+	363	17
2313_159	k141_9771	135570	135887	+	318	16
2313_160	k141_9771	136115	136642	+	528	38
2313_161	k141_9771	136602	136841	+	240	11
2313_162	k141_9771	136845	137243	+	399	26
2313_163	k141_9771	137861	138076	+	216	30
2313_164	k141_9771	138378	139169	+	792	54
2313_165	k141_9771	139109	139213	+	105	10
2313_166	k141_9771	139650	139901	+	252	28
2313_167	k141_9771	141616	142482	+	867	66
2313_168	k141_9771	142484	142786	+	303	25
2313_169	k141_9771	142898	143389	+	492	27
2313_170	k141_9771	143416	143508	+	93	2
2313_171	k141_9771	143807	144070	-	264	46
2313_172	k141_9771	144827	146545	+	1719	343
2313_173	k141_9771	146699	147553	+	855	219
2313_174	k141_9771	147576	148595	+	1020	183
2313_175	k141_9771	148619	149119	+	501	111
2313_176	k141_9771	149224	149283	+	60	3
2314_1	k141_18687	489	1280	-	792	5
2314_2	k141_18687	1290	1814	-	525	0
2314_3	k141_18687	1849	3141	-	1293	7
2314_4	k141_18687	3232	4539	-	1308	0
2314_5	k141_18687	4645	5073	-	429	4
2314_6	k141_18687	5077	5769	-	693	3
2314_7	k141_18687	5766	6170	-	405	0
2314_8	k141_18687	6278	6532	+	255	0
2314_9	k141_18687	6610	6723	-	114	0
2314_10	k141_18687	6739	7878	-	1140	2
2314_11	k141_18687	7894	9462	-	1569	14
2314_12	k141_18687	10690	11139	+	450	0
2314_13	k141_18687	11139	12527	+	1389	0
2314_14	k141_18687	12544	13989	+	1446	0
2314_15	k141_18687	13989	15230	+	1242	0
2314_16	k141_18687	15234	16604	+	1371	0
2314_17	k141_18687	16601	16918	+	318	0
2314_18	k141_18687	17282	18589	+	1308	0
2314_19	k141_18687	18664	19665	+	1002	0
2314_20	k141_18687	19677	21329	+	1653	0
2314_21	k141_18687	21339	21941	+	603	0
2314_22	k141_18687	22124	23026	-	903	0
2314_23	k141_18687	23422	24192	-	771	0
2314_24	k141_18687	24359	25228	-	870	14
2314_25	k141_18687	25228	26394	-	1167	6
2314_26	k141_18687	26494	27717	-	1224	3
2314_27	k141_18687	27732	29117	-	1386	6
2314_28	k141_18687	29148	30539	-	1392	25
2314_29	k141_18687	30918	31634	-	717	2
2314_30	k141_18687	31650	33416	-	1767	9
2314_31	k141_18687	33416	33763	-	348	3
2314_32	k141_18687	33757	34161	-	405	31
2314_33	k141_18687	34801	36084	+	1284	13
2314_34	k141_18687	36130	36921	-	792	0
2314_35	k141_18687	36937	37581	-	645	0
2314_36	k141_18687	37591	38586	-	996	0
2314_37	k141_18687	38583	39308	-	726	0
2314_38	k141_18687	39371	40117	-	747	0
2314_39	k141_18687	40107	41039	-	933	0
2314_40	k141_18687	41033	41689	-	657	0
2314_41	k141_18687	41705	42448	-	744	0
2314_42	k141_18687	42719	44200	+	1482	3
2314_43	k141_18687	44169	45611	-	1443	0
2314_44	k141_18687	45856	46062	-	207	6
2314_45	k141_18687	46461	48140	+	1680	15
2314_46	k141_18687	48162	50210	+	2049	12
2314_47	k141_18687	50221	50796	+	576	0
2314_48	k141_18687	50798	53485	+	2688	8
2314_49	k141_18687	53482	54159	+	678	0
2314_50	k141_18687	54388	55083	-	696	0
2314_51	k141_18687	55073	55972	-	900	0
2314_52	k141_18687	55969	57447	-	1479	0
2314_53	k141_18687	57475	58461	-	987	0
2314_54	k141_18687	58472	59956	-	1485	0
2314_55	k141_18687	60062	60976	-	915	0
2314_56	k141_18687	61017	61124	-	108	0
2314_57	k141_18687	61208	62281	-	1074	0
2314_58	k141_18687	62398	63195	-	798	0
2314_59	k141_18687	63518	63937	-	420	0
2314_60	k141_18687	63995	65635	-	1641	2
2314_61	k141_18687	65667	66215	-	549	5
2314_62	k141_18687	66399	67172	+	774	6
2314_63	k141_18687	67306	67599	+	294	3
2314_64	k141_18687	67749	68279	+	531	0
2314_65	k141_18687	68571	69023	+	453	4
2314_66	k141_18687	69153	70079	+	927	0
2314_67	k141_18687	70177	71580	+	1404	0
2314_68	k141_18687	71567	72706	+	1140	0
2314_69	k141_18687	72761	74056	+	1296	0
2314_70	k141_18687	74109	74441	-	333	0
2314_71	k141_18687	74488	75891	-	1404	4
2314_72	k141_18687	76331	77998	-	1668	12
2314_73	k141_18687	78177	80129	-	1953	16
2314_74	k141_18687	80442	81242	+	801	3
2314_75	k141_18687	81303	82451	+	1149	0
2314_76	k141_18687	82460	83680	+	1221	0
2314_77	k141_18687	83726	84478	+	753	6
2314_78	k141_18687	84757	86418	+	1662	19
2314_79	k141_18687	87534	88709	-	1176	3
2314_80	k141_18687	88918	90342	+	1425	0
2314_81	k141_18687	90487	91533	+	1047	15
2314_82	k141_18687	91530	91997	+	468	0
2314_83	k141_18687	92096	92974	+	879	7
2314_84	k141_18687	92997	94535	+	1539	0
2314_85	k141_18687	94893	95804	+	912	1
2314_86	k141_18687	95968	96708	+	741	2
2314_87	k141_18687	96708	97382	+	675	0
2314_88	k141_18687	97382	98107	+	726	5
2314_89	k141_18687	98481	100148	+	1668	0
2314_90	k141_18687	100204	101991	+	1788	0
2314_91	k141_18687	102191	102673	-	483	0
2314_92	k141_18687	102900	105482	+	2583	8
2314_93	k141_18687	105497	106087	+	591	0
2314_94	k141_18687	106087	107118	+	1032	0
2314_95	k141_18687	107111	107761	+	651	0
2314_96	k141_18687	107808	108437	+	630	0
2314_97	k141_18687	108659	108976	+	318	0
2314_98	k141_18687	108980	109447	+	468	0
2314_99	k141_18687	109475	111376	+	1902	0
2314_100	k141_18687	111376	112488	+	1113	4
2314_101	k141_18687	112499	113599	+	1101	6
2314_102	k141_18687	113743	114942	+	1200	15
2314_103	k141_18687	115049	115312	+	264	3
2314_104	k141_18687	115413	116057	+	645	3
2314_105	k141_18687	116195	117148	+	954	0
2314_106	k141_18687	117336	118301	+	966	0
2314_107	k141_18687	118527	118730	-	204	0
2314_108	k141_18687	118858	119646	-	789	3
2314_109	k141_18687	119738	120121	+	384	0
2314_110	k141_18687	120187	120396	-	210	2
2314_111	k141_18687	120592	121161	-	570	0
2314_112	k141_18687	121458	122831	+	1374	4
2314_113	k141_18687	122924	123718	+	795	0
2314_114	k141_18687	123874	124284	+	411	0
2314_115	k141_18687	124485	124913	+	429	0
2314_116	k141_18687	124988	126553	-	1566	4
2314_117	k141_18687	126795	127358	-	564	4
2314_118	k141_18687	128218	129129	+	912	0
2314_119	k141_18687	129234	130457	+	1224	9
2314_120	k141_18687	130442	131071	+	630	0
2314_121	k141_18687	131072	132253	-	1182	0
2314_122	k141_18687	132412	133101	+	690	0
2314_123	k141_18687	133098	133640	+	543	0
2314_124	k141_18687	133784	136093	-	2310	0
2314_125	k141_18687	136509	137489	+	981	0
2314_126	k141_18687	137486	139039	+	1554	0
2314_127	k141_18687	139036	140025	+	990	0
2314_128	k141_18687	140022	141023	+	1002	0
2314_129	k141_18687	141035	141979	+	945	0
2314_130	k141_18687	142018	143046	-	1029	0
2314_131	k141_18687	143043	144539	-	1497	0
2314_132	k141_18687	144564	145175	-	612	0
2314_133	k141_18687	145693	146955	+	1263	0
2314_134	k141_18687	146958	148193	+	1236	0
2314_135	k141_18687	148190	149428	+	1239	0
2314_136	k141_18687	149451	150563	+	1113	0
2314_137	k141_18687	150685	151494	+	810	0
2314_138	k141_18687	151603	152964	+	1362	0
2314_139	k141_18687	152990	154258	+	1269	0
2314_140	k141_18687	154305	155333	-	1029	0
2314_141	k141_18687	155436	156635	+	1200	0
2314_142	k141_18687	156762	158003	-	1242	0
2314_143	k141_18687	158000	159064	-	1065	0
2314_144	k141_18687	159209	160207	-	999	0
2314_145	k141_18687	160204	161706	-	1503	0
2314_146	k141_18687	161867	162955	+	1089	3
2314_147	k141_18687	163136	163438	+	303	0
2314_148	k141_18687	163419	163823	+	405	0
2314_149	k141_18687	163820	164017	-	198	0
2314_150	k141_18687	164073	166181	-	2109	15
2314_151	k141_18687	166619	167032	-	414	0
2314_152	k141_18687	167033	167788	-	756	0
2314_153	k141_18687	167788	168639	-	852	3
2314_154	k141_18687	168653	170260	-	1608	0
2314_155	k141_18687	170270	171445	-	1176	4
2314_156	k141_18687	171757	172716	+	960	0
2314_157	k141_18687	172831	174072	-	1242	0
2314_158	k141_18687	174185	175192	+	1008	3
2314_159	k141_18687	175189	176181	+	993	0
2314_160	k141_18687	176178	176972	+	795	0
2314_161	k141_18687	177071	180952	-	3882	0
2314_162	k141_18687	180963	181166	-	204	0
2314_163	k141_18687	181194	182393	-	1200	3
2314_164	k141_18687	182666	184915	+	2250	17
2314_165	k141_18687	184983	185606	+	624	0
2314_166	k141_18687	185662	186597	-	936	0
2314_167	k141_18687	186590	187420	-	831	0
2314_168	k141_18687	187785	188735	+	951	0
2314_169	k141_18687	189098	190618	+	1521	0
2314_170	k141_18687	190899	191834	+	936	0
2314_171	k141_18687	191878	192498	+	621	0
2314_172	k141_18687	192500	194044	+	1545	0
2314_173	k141_18687	194062	195117	+	1056	0
2314_174	k141_18687	195178	195975	+	798	0
2314_175	k141_18687	196081	196866	+	786	0
2314_176	k141_18687	197061	197213	-	153	0
2314_177	k141_18687	197436	199469	-	2034	6
2314_178	k141_18687	199598	200191	+	594	1
2314_179	k141_18687	200202	201674	+	1473	2
2314_180	k141_18687	201689	203353	+	1665	16
2314_181	k141_18687	203405	204100	-	696	0
2314_182	k141_18687	204287	205624	-	1338	0
2314_183	k141_18687	205807	206571	+	765	0
2314_184	k141_18687	207122	207883	-	762	0
2314_185	k141_18687	207876	208541	-	666	0
2314_186	k141_18687	208556	209197	-	642	0
2314_187	k141_18687	209246	210097	-	852	0
2314_188	k141_18687	210332	211798	+	1467	0
2314_189	k141_18687	211830	212477	-	648	0
2314_190	k141_18687	212753	214087	-	1335	0
2314_191	k141_18687	214196	215086	+	891	0
2314_192	k141_18687	215304	216572	-	1269	0
2314_193	k141_18687	216562	217746	-	1185	0
2314_194	k141_18687	217765	218775	-	1011	0
2314_195	k141_18687	218765	219808	-	1044	0
2314_196	k141_18687	219812	220705	-	894	0
2314_197	k141_18687	220708	221661	-	954	0
2314_198	k141_18687	221680	223344	-	1665	0
2314_199	k141_18687	223670	224785	+	1116	0
2314_200	k141_18687	224837	225556	+	720	0
2314_201	k141_18687	226075	229167	-	3093	0
2314_202	k141_18687	229178	230260	-	1083	0
2314_203	k141_18687	230330	233053	-	2724	0
2314_204	k141_18687	233249	233359	+	111	0
2314_205	k141_18687	233546	233794	+	249	0
2314_206	k141_18687	233723	235345	-	1623	0
2314_207	k141_18687	235499	237643	+	2145	0
2314_208	k141_18687	237681	238022	-	342	0
2314_209	k141_18687	238055	239155	-	1101	0
2314_210	k141_18687	239346	239927	+	582	0
2314_211	k141_18687	239927	240295	+	369	0
2314_212	k141_18687	240414	241067	+	654	0
2314_213	k141_18687	241332	242198	-	867	0
2314_214	k141_18687	242308	243735	+	1428	0
2314_215	k141_18687	243813	245057	+	1245	1
2314_216	k141_18687	245063	246043	-	981	0
2314_217	k141_18687	246342	246653	+	312	0
2314_218	k141_18687	247331	247948	+	618	0
2314_219	k141_18687	248019	248597	+	579	0
2314_220	k141_18687	248662	249339	+	678	0
2314_221	k141_18687	249348	251885	+	2538	0
2314_222	k141_18687	251875	253494	+	1620	0
2314_223	k141_18687	253491	254174	+	684	0
2314_224	k141_18687	254181	254816	-	636	0
2314_225	k141_18687	255417	255833	+	417	0
2314_226	k141_18687	255871	257022	-	1152	0
2314_227	k141_18687	257019	258047	-	1029	0
2314_228	k141_18687	258064	259305	-	1242	0
2314_229	k141_18687	259456	260832	-	1377	9
2314_230	k141_18687	261001	261954	-	954	0
2314_231	k141_18687	262086	262862	-	777	0
2314_232	k141_18687	262882	264060	-	1179	0
2314_233	k141_18687	264503	264973	-	471	0
2314_234	k141_18687	265271	265663	-	393	0
2314_235	k141_18687	265938	267056	+	1119	0
2314_236	k141_18687	267063	268145	+	1083	0
2314_237	k141_18687	268142	268933	+	792	0
2314_238	k141_18687	269215	270138	+	924	0
2314_239	k141_18687	270303	271820	+	1518	0
2314_240	k141_18687	271957	273327	+	1371	0
2314_241	k141_18687	273327	274727	+	1401	0
2314_242	k141_18687	274758	275762	+	1005	0
2314_243	k141_18687	275764	276603	-	840	0
2314_244	k141_18687	276600	278024	-	1425	0
2314_245	k141_18687	278021	279901	-	1881	0
2314_246	k141_18687	280113	281042	-	930	0
2314_247	k141_18687	281250	282164	+	915	0
2314_248	k141_18687	282175	283281	+	1107	0
2314_249	k141_18687	283278	284045	+	768	0
2314_250	k141_18687	284038	284757	+	720	0
2314_251	k141_18687	284784	285941	+	1158	0
2314_252	k141_18687	285959	286441	+	483	0
2314_253	k141_18687	286438	287679	+	1242	0
2314_254	k141_18687	287724	288755	-	1032	0
2314_255	k141_18687	288766	290250	-	1485	0
2314_256	k141_18687	290275	291198	-	924	0
2314_257	k141_18687	291647	292678	-	1032	0
2314_258	k141_18687	292765	293772	+	1008	0
2314_259	k141_18687	293812	294843	-	1032	0
2314_260	k141_18687	295006	295878	+	873	0
2314_261	k141_18687	296033	296446	-	414	0
2314_262	k141_18687	296598	298115	-	1518	6
2314_263	k141_18687	298592	299932	-	1341	3
2314_264	k141_18687	299992	302139	-	2148	5
2314_265	k141_18687	302221	303558	-	1338	28
2314_266	k141_18687	303923	305500	-	1578	0
2314_267	k141_18687	305808	306674	+	867	0
2314_268	k141_18687	306712	307587	-	876	0
2314_269	k141_18687	307725	308267	+	543	0
2314_270	k141_18687	308277	309104	+	828	0
2314_271	k141_18687	309289	310311	+	1023	0
2314_272	k141_18687	310250	311263	+	1014	0
2314_273	k141_18687	311354	312559	-	1206	0
2314_274	k141_18687	312904	313311	-	408	0
2314_275	k141_18687	314372	315238	+	867	4
2314_276	k141_18687	315240	315452	+	213	0
2314_277	k141_18687	315592	316977	-	1386	11
2314_278	k141_18687	317151	317645	+	495	4
2314_279	k141_18687	317649	318371	+	723	8
2314_280	k141_18687	318478	318798	+	321	0
2314_281	k141_18687	318904	319413	+	510	6
2314_282	k141_18687	319410	320477	+	1068	0
2314_283	k141_18687	320678	321571	-	894	0
2314_284	k141_18687	321581	322384	-	804	0
2314_285	k141_18687	322394	323653	-	1260	1
2314_286	k141_18687	323663	325330	-	1668	3
2314_287	k141_18687	325646	326695	+	1050	0
2314_288	k141_18687	326717	327952	+	1236	0
2314_289	k141_18687	327963	328745	+	783	2
2314_290	k141_18687	328822	329967	-	1146	3
2314_291	k141_18687	329986	331296	-	1311	0
2314_292	k141_18687	331469	332830	-	1362	8
2314_293	k141_18687	332962	334416	-	1455	8
2314_294	k141_18687	334496	335806	-	1311	0
2314_295	k141_18687	335806	336684	-	879	0
2314_296	k141_18687	336804	337580	-	777	0
2314_297	k141_18687	337594	339375	-	1782	0
2314_298	k141_18687	339464	340282	-	819	0
2314_299	k141_18687	340374	340856	-	483	0
2314_300	k141_18687	340914	341063	+	150	0
2314_301	k141_18687	341068	341991	+	924	0
2314_302	k141_18687	342076	343158	+	1083	0
2314_303	k141_18687	343275	344420	-	1146	0
2314_304	k141_18687	344630	344851	+	222	0
2314_305	k141_18687	345098	347515	-	2418	0
2314_306	k141_18687	347512	348198	-	687	3
2314_307	k141_18687	348238	348792	+	555	1
2314_308	k141_18687	348821	349591	+	771	1
2314_309	k141_18687	349653	350507	+	855	0
2314_310	k141_18687	350676	351458	-	783	0
2314_311	k141_18687	351445	352125	-	681	0
2314_312	k141_18687	352262	353179	+	918	1
2314_313	k141_18687	353176	353634	+	459	0
2314_314	k141_18687	353656	355824	+	2169	0
2314_315	k141_18687	355794	356510	+	717	0
2314_316	k141_18687	356507	356917	-	411	0
2314_317	k141_18687	357024	359525	+	2502	6
2314_318	k141_18687	359600	360850	-	1251	0
2314_319	k141_18687	360843	361490	-	648	0
2314_320	k141_18687	361510	363750	-	2241	0
2314_321	k141_18687	363785	364528	-	744	0
2314_322	k141_18687	364530	364937	-	408	0
2314_323	k141_18687	365260	366054	+	795	0
2314_324	k141_18687	366256	366735	+	480	7
2314_325	k141_18687	366864	368516	-	1653	2
2314_326	k141_18687	368680	369900	+	1221	0
2314_327	k141_18687	370258	371934	+	1677	7
2314_328	k141_18687	371978	373282	-	1305	0
2314_329	k141_18687	373346	374308	-	963	0
2314_330	k141_18687	374435	375079	-	645	0
2314_331	k141_18687	375268	377142	-	1875	10
2314_332	k141_18687	377254	377859	-	606	3
2314_333	k141_18687	377859	378191	-	333	0
2314_334	k141_18687	378249	378587	-	339	5
2314_335	k141_18687	378675	380150	-	1476	17
2314_336	k141_18687	380242	380793	-	552	3
2314_337	k141_18687	380944	381321	-	378	0
2314_338	k141_18687	381391	381918	+	528	0
2314_339	k141_18687	381933	382106	+	174	0
2314_340	k141_18687	382217	382663	+	447	0
2314_341	k141_18687	382700	386041	-	3342	0
2314_342	k141_18687	386172	386822	-	651	0
2314_343	k141_18687	386965	388158	+	1194	0
2314_344	k141_18687	388181	391327	+	3147	13
2314_345	k141_18687	391806	392180	+	375	0
2314_346	k141_18687	392207	392425	+	219	0
2314_347	k141_18687	392587	393153	+	567	0
2314_348	k141_18687	393280	393750	+	471	0
2314_349	k141_18687	393725	395179	-	1455	0
2314_350	k141_18687	395281	395979	+	699	0
2314_351	k141_18687	395976	396116	-	141	0
2314_352	k141_18687	396116	396379	-	264	0
2314_353	k141_18687	396492	397565	-	1074	0
2314_354	k141_18687	397833	399104	+	1272	0
2314_355	k141_18687	399228	399542	-	315	0
2314_356	k141_18687	399608	401665	-	2058	0
2314_357	k141_18687	401697	402899	-	1203	0
2314_358	k141_18687	402904	403755	-	852	0
2314_359	k141_18687	403766	405073	-	1308	0
2314_360	k141_18687	405130	406362	-	1233	0
2314_361	k141_18687	406716	407825	+	1110	0
2314_362	k141_18687	408069	409655	+	1587	0
2314_363	k141_18687	409658	409930	-	273	0
2314_364	k141_18687	410097	410933	+	837	0
2314_365	k141_18687	410980	411333	-	354	0
2314_366	k141_18687	411426	412040	-	615	0
2314_367	k141_18687	412128	413555	+	1428	0
2314_368	k141_18687	413689	413904	-	216	0
2314_369	k141_18687	413901	414158	-	258	0
2314_370	k141_18687	414823	415230	+	408	0
2314_371	k141_18687	415296	415607	+	312	0
2314_372	k141_18687	415647	416156	-	510	0
2314_373	k141_18687	416377	417240	+	864	0
2314_374	k141_18687	417297	418583	-	1287	0
2314_375	k141_18687	418617	418955	-	339	0
2314_376	k141_18687	418969	419199	-	231	0
2314_377	k141_18687	419199	420977	-	1779	12
2314_378	k141_18687	420970	422742	-	1773	4
2314_379	k141_18687	422785	423243	-	459	4
2314_380	k141_18687	423359	424411	+	1053	0
2314_381	k141_18687	424458	425276	-	819	0
2314_382	k141_18687	425403	427103	+	1701	0
2314_383	k141_18687	427170	427865	+	696	0
2314_384	k141_18687	427970	428371	-	402	0
2314_385	k141_18687	428482	428847	-	366	0
2314_386	k141_18687	428996	430870	-	1875	2
2314_387	k141_18687	431084	431356	-	273	0
2314_388	k141_18687	431565	433919	-	2355	5
2314_389	k141_18687	434103	435377	-	1275	7
2314_390	k141_18687	435510	436133	-	624	0
2314_391	k141_18687	436449	437747	-	1299	17
2314_392	k141_18687	438095	438409	-	315	5
2314_393	k141_18687	438619	439296	+	678	0
2314_394	k141_18687	439342	440817	+	1476	0
2314_395	k141_18687	441298	442245	+	948	3
2314_396	k141_18687	442265	444256	+	1992	3
2314_397	k141_18687	444246	444857	+	612	16
2314_398	k141_18687	444857	445186	+	330	3
2314_399	k141_18687	445198	446085	+	888	8
2314_400	k141_18687	447209	447508	+	300	0
2314_401	k141_18687	447609	448367	-	759	0
2314_402	k141_18687	448521	449342	+	822	0
2314_403	k141_18687	449339	451039	+	1701	0
2314_404	k141_18687	451029	451349	+	321	0
2314_405	k141_18687	451360	453063	+	1704	0
2314_406	k141_18687	453129	453947	+	819	0
2314_407	k141_18687	453958	455322	+	1365	0
2314_408	k141_18687	455730	457130	+	1401	0
2314_409	k141_18687	457223	458401	+	1179	0
2314_410	k141_18687	458557	459921	+	1365	0
2314_411	k141_18687	460025	460516	-	492	8
2314_412	k141_18687	460659	461570	+	912	1
2314_413	k141_18687	461533	462123	+	591	0
2314_414	k141_18687	462181	463749	-	1569	6
2314_415	k141_18687	463828	464070	+	243	0
2314_416	k141_18687	464071	464970	+	900	0
2314_417	k141_18687	464989	466851	+	1863	9
2314_418	k141_18687	466912	467886	+	975	23
2314_419	k141_18687	468075	468581	-	507	1
2314_420	k141_18687	468571	469545	-	975	4
2314_421	k141_18687	469621	470040	-	420	0
2314_422	k141_18687	470060	470530	-	471	4
2314_423	k141_18687	470624	471727	-	1104	1
2314_424	k141_18687	471732	472181	-	450	1
2314_425	k141_18687	472329	472871	+	543	0
2314_426	k141_18687	473168	474052	+	885	27
2314_427	k141_18687	474096	474785	-	690	0
2314_428	k141_18687	474800	475165	-	366	0
2314_429	k141_18687	475230	476621	-	1392	0
2314_430	k141_18687	476738	477709	-	972	9
2314_431	k141_18687	477720	479534	-	1815	13
2314_432	k141_18687	479595	479927	-	333	5
2314_433	k141_18687	479950	481077	-	1128	1
2314_434	k141_18687	481131	482201	-	1071	9
2314_435	k141_18687	482293	482874	+	582	4
2314_436	k141_18687	483045	483647	+	603	0
2314_437	k141_18687	483695	485089	-	1395	0
2314_438	k141_18687	485086	487743	-	2658	0
2314_439	k141_18687	487880	489748	-	1869	0
2314_440	k141_18687	489773	490318	-	546	0
2314_441	k141_18687	490503	491144	-	642	0
2314_442	k141_18687	491437	492339	+	903	0
2314_443	k141_18687	492336	494153	-	1818	0
2314_444	k141_18687	494307	495677	-	1371	0
2314_445	k141_18687	495801	497120	-	1320	7
2314_446	k141_18687	497539	498828	-	1290	7
2314_447	k141_18687	498850	499539	-	690	0
2314_448	k141_18687	499819	501021	+	1203	0
2314_449	k141_18687	501018	504152	+	3135	9
2314_450	k141_18687	504445	504807	+	363	0
2314_451	k141_18687	504856	505761	-	906	4
2314_452	k141_18687	505852	506763	+	912	19
2314_453	k141_18687	506806	507090	-	285	0
