# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_4_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_4/L23_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_4/L23_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_4/L23_1.bam	RPKG
1841_2	k141_76796	1345	2217	+	873	2	0.00298746
1841_3	k141_76796	2763	3041	-	279	15	0.0701089
1841_4	k141_76796	3227	3331	+	105	5	0.0620964
1842_1	k141_120658	2	502	-	501	1	0.00260284
1842_2	k141_120658	733	2076	-	1344	4	0.00388103
1842_3	k141_120658	2318	3268	-	951	6	0.00822729
1842_4	k141_120658	3307	4671	-	1365	6	0.00573198
1842_5	k141_120658	4938	6089	-	1152	0	0
1842_6	k141_120658	6131	6334	-	204	0	0
1842_7	k141_120658	6371	8146	-	1776	1	0.000734248
1842_8	k141_120658	8146	10449	-	2304	5	0.00282991
1842_9	k141_120658	10452	10868	-	417	1	0.00312716
1843_1	k141_11374	2	175	-	174	0	0
1843_2	k141_11374	162	2219	-	2058	3	0.00190091
1843_3	k141_11374	2327	3046	-	720	1	0.00181115
1843_4	k141_11374	3205	4212	+	1008	6	0.00776205
1843_5	k141_11374	4200	4577	+	378	3	0.0103494
1843_6	k141_11374	4719	5084	-	366	83	0.295721
1843_7	k141_11374	5162	5356	-	195	65	0.434675
1843_8	k141_11374	5400	6263	-	864	306	0.461842
1843_9	k141_11374	6260	6610	-	351	83	0.308359
1844_1	k141_87734	46	1491	+	1446	3	0.00270545
1844_2	k141_87734	1640	2803	+	1164	4	0.00448118
1844_3	k141_87734	2957	3760	+	804	1	0.00162192
1844_4	k141_87734	3778	4761	+	984	3	0.00397569
1844_5	k141_87734	5066	5461	+	396	5	0.016465
1844_6	k141_87734	5606	5872	+	267	1	0.00488399
1844_7	k141_87734	5902	6135	+	234	1	0.00557276
1844_8	k141_87734	6380	7285	+	906	7	0.0100752
1844_9	k141_87734	7303	7461	+	159	0	0
1844_10	k141_87734	7570	8772	+	1203	8	0.00867182
1844_11	k141_87734	8782	10134	+	1353	3	0.00289141
1844_12	k141_87734	10109	10591	+	483	4	0.0107994
1844_13	k141_87734	10605	11414	+	810	6	0.00965944
1844_14	k141_87734	11465	12289	+	825	7	0.0110645
1844_15	k141_87734	12320	13459	+	1140	0	0
1844_16	k141_87734	13471	15006	+	1536	13	0.0110367
1844_17	k141_87734	15011	17143	+	2133	10	0.00611357
1844_18	k141_87734	17250	18731	-	1482	7	0.00615936
1844_19	k141_87734	19325	20734	+	1410	9	0.00832356
1845_1	k141_291	342	815	+	474	2	0.00550221
1845_2	k141_291	849	1355	+	507	17	0.0437247
1845_3	k141_291	1472	1540	+	69	0	0
1846_1	k141_120660	2	298	+	297	0	0
1846_2	k141_120660	374	1444	+	1071	2	0.00243515
1847_1	k141_98632	2	133	+	132	0	0
1847_2	k141_98632	179	649	+	471	33	0.0913648
1847_3	k141_98632	662	1738	+	1077	61	0.0738584
1847_4	k141_98632	1911	3344	+	1434	144	0.130948
1847_5	k141_98632	3362	4033	+	672	491	0.952792
1847_6	k141_98632	4033	4563	+	531	184	0.451865
1848_1	k141_175151	2	493	+	492	0	0
1848_2	k141_175151	486	2420	+	1935	14	0.0094348
1848_3	k141_175151	2434	2571	+	138	0	0
1849_1	k141_44192	41	3313	+	3273	18	0.00717154
1849_2	k141_44192	3390	4004	-	615	5	0.0106018
1849_3	k141_44192	4004	4585	-	582	1	0.00224059
1849_4	k141_44192	5371	5586	+	216	0	0
1850_1	k141_22400	3	848	+	846	75	0.115605
1850_2	k141_22400	1016	1414	-	399	33	0.107852
1850_3	k141_22400	1392	1730	-	339	17	0.0653936
1850_4	k141_22400	1756	2178	-	423	26	0.0801528
1850_5	k141_22400	2465	2848	-	384	27	0.0916892
1850_6	k141_22400	2814	4331	-	1518	100	0.0859041
1850_7	k141_22400	4324	6075	-	1752	101	0.0751749
1850_8	k141_22400	6088	7206	-	1119	87	0.101385
1850_9	k141_22400	7376	9025	-	1650	183	0.144628
1851_1	k141_175153	40	822	+	783	0	0
1851_2	k141_175153	894	1106	+	213	0	0
1852_1	k141_197012	28	1446	-	1419	91	0.0836267
1852_2	k141_197012	1720	2022	-	303	42	0.180756
1852_3	k141_197012	2113	2346	-	234	26	0.144892
1852_4	k141_197012	2609	3418	-	810	101	0.162601
1852_5	k141_197012	3536	3901	-	366	29	0.103324
1852_6	k141_197012	3901	4965	-	1065	118	0.144483
1853_1	k141_296	2	79	-	78	0	0
1853_2	k141_296	18	1124	-	1107	2	0.00235596
1853_3	k141_296	1141	1620	-	480	0	0
1854_1	k141_164091	161	463	+	303	4	0.0172148
1854_2	k141_164091	480	1970	+	1491	20	0.0174919
1854_3	k141_164091	1973	3406	+	1434	12	0.0109123
1854_4	k141_164091	3709	8856	+	5148	108	0.0273572
1854_5	k141_164091	9198	9662	+	465	6	0.0168261
1854_6	k141_164091	10121	11317	+	1197	37	0.0403082
1854_7	k141_164091	11331	11882	+	552	7	0.0165365
1854_8	k141_164091	12074	12865	+	792	8	0.013172
1854_9	k141_164091	13014	13865	+	852	11	0.016836
1854_10	k141_164091	13850	14728	+	879	11	0.0163189
1854_11	k141_164091	14725	15549	+	825	14	0.0221289
1854_12	k141_164091	15584	16324	+	741	8	0.0140785
1854_13	k141_164091	16422	17129	+	708	11	0.0202603
1854_14	k141_164091	17143	18414	+	1272	16	0.0164028
1854_15	k141_164091	18590	19795	+	1206	13	0.0140567
1854_16	k141_164091	19868	21127	+	1260	22	0.0227687
1854_17	k141_164091	21162	21299	+	138	3	0.0283484
1854_18	k141_164091	21347	23638	+	2292	43	0.0244647
1854_19	k141_164091	23629	24504	+	876	15	0.0223292
1854_20	k141_164091	24778	25509	+	732	19	0.0338476
1854_21	k141_164091	25759	26679	+	921	13	0.0184064
1854_22	k141_164091	26729	27214	+	486	3	0.00804954
1854_23	k141_164091	27328	28797	+	1470	39	0.0345966
1854_24	k141_164091	29001	29774	+	774	28	0.047174
1854_25	k141_164091	30124	31347	+	1224	39	0.0415498
1854_26	k141_164091	31426	31932	+	507	8	0.0205763
1854_27	k141_164091	31942	32445	+	504	5	0.0129368
1854_28	k141_164091	32481	32849	-	369	10	0.0353394
1855_1	k141_297	1	444	+	444	0	0
1855_2	k141_297	392	1600	+	1209	3	0.00323579
1856_1	k141_22407	2	391	-	390	31	0.103653
1856_2	k141_22407	428	883	-	456	13	0.0371761
1856_3	k141_22407	894	1262	-	369	24	0.0848146
1856_4	k141_22407	1290	1439	-	150	3	0.0260805
1857_1	k141_175159	247	1257	-	1011	0	0
1858_1	k141_298	3	407	-	405	0	0
1858_2	k141_298	622	1002	+	381	0	0
1859_1	k141_11375	2	859	+	858	1	0.00151984
1859_2	k141_11375	993	2519	+	1527	11	0.00939376
1859_3	k141_11375	2565	3575	+	1011	5	0.00644918
1859_4	k141_11375	3636	4886	+	1251	13	0.013551
1859_5	k141_11375	4938	5984	+	1047	4	0.00498195
1860_1	k141_120665	1	504	+	504	0	0
1860_2	k141_120665	678	1952	+	1275	3	0.00306829
1860_3	k141_120665	2400	3389	+	990	1	0.0013172
1861_1	k141_44193	2	1084	+	1083	13	0.0156531
1861_2	k141_44193	1065	1628	+	564	2	0.0046242
1861_3	k141_44193	1731	4223	-	2493	3	0.00156922
1861_4	k141_44193	4213	4890	-	678	0	0
1861_5	k141_44193	4974	5960	-	987	0	0
1862_1	k141_98637	1	372	+	372	1	0.00350544
1862_2	k141_98637	369	1775	+	1407	1	0.000926812
1862_3	k141_98637	2076	2855	+	780	0	0
1862_4	k141_98637	2827	3243	+	417	0	0
1862_5	k141_98637	3467	3622	+	156	0	0
1862_6	k141_98637	3811	4113	+	303	0	0
1862_7	k141_98637	4177	4995	+	819	0	0
1862_8	k141_98637	4988	5644	+	657	0	0
1862_9	k141_98637	5641	5781	+	141	0	0
1863_1	k141_142254	3	851	+	849	41	0.0629741
1863_2	k141_142254	980	1300	+	321	4	0.0162495
1863_3	k141_142254	1308	1847	+	540	13	0.0313932
1863_4	k141_142254	1850	2425	+	576	16	0.0362229
1863_5	k141_142254	3783	4133	-	351	9	0.0334365
1863_6	k141_142254	4495	5187	+	693	7	0.013172
1863_7	k141_142254	5208	6992	+	1785	9	0.00657491
1863_8	k141_142254	7005	7949	+	945	16	0.0220787
1863_9	k141_142254	7953	8657	+	705	9	0.0166471
1863_10	k141_142254	8623	11193	+	2571	15	0.00760808
1863_11	k141_142254	12661	13152	+	492	2	0.00530091
1863_12	k141_142254	13133	13411	+	279	2	0.00934785
1863_13	k141_142254	13592	14113	+	522	10	0.0249813
1863_14	k141_142254	14239	14415	+	177	13	0.0957758
1864_1	k141_300	244	1680	+	1437	63	0.0571702
1864_2	k141_300	1784	3652	+	1869	12	0.00837255
1864_3	k141_300	3754	3954	+	201	1	0.00648769
1865_1	k141_98639	3	158	+	156	6	0.0501548
1865_2	k141_98639	1023	1154	-	132	179	1.76834
1866_1	k141_22414	2	1792	+	1791	0	0
1866_2	k141_22414	2076	3374	+	1299	1	0.00100387
1867_1	k141_11387	144	467	-	324	1	0.00402477
1867_2	k141_11387	557	1087	+	531	0	0
1867_3	k141_11387	1080	1235	+	156	0	0
1867_4	k141_11387	1257	1712	+	456	0	0
1868_1	k141_142256	67	687	-	621	55	0.115493
1868_2	k141_142256	699	1730	-	1032	110	0.138995
1868_3	k141_142256	2274	2348	+	75	18	0.312966
1869_1	k141_164100	128	475	-	348	0	0
1869_2	k141_164100	1449	2129	-	681	3	0.0057446
1869_3	k141_164100	2764	3885	+	1122	2	0.00232446
1869_4	k141_164100	3907	4089	+	183	0	0
1870_1	k141_175167	1	696	-	696	1	0.0018736
1870_2	k141_175167	712	1686	-	975	0	0
1870_3	k141_175167	1757	2440	-	684	0	0
1870_4	k141_175167	2662	3351	+	690	0	0
1870_5	k141_175167	3370	4239	+	870	3	0.00449664
1870_6	k141_175167	4368	5084	+	717	0	0
1871_1	k141_44196	2	460	+	459	0	0
1871_2	k141_44196	475	1614	+	1140	0	0
1871_3	k141_44196	1628	3169	+	1542	0	0
1871_4	k141_44196	3169	3948	+	780	0	0
1872_1	k141_44202	1	1131	-	1131	1	0.00115298
1873_1	k141_131375	2	163	+	162	0	0
1873_2	k141_131375	191	994	+	804	8	0.0129754
1873_3	k141_131375	991	2496	+	1506	17	0.0147201
1873_4	k141_131375	2518	3168	+	651	8	0.0160249
1873_5	k141_131375	3181	3942	+	762	23	0.0393603
1873_6	k141_131375	3998	4666	+	669	12	0.0233906
1873_7	k141_131375	4689	5210	+	522	3	0.00749439
1873_8	k141_131375	5217	6485	+	1269	20	0.020552
1873_9	k141_131375	6437	7276	-	840	7	0.0108669
1873_10	k141_131375	7589	8446	+	858	11	0.0167183
1873_11	k141_131375	8558	11929	+	3372	35	0.0135353
1873_12	k141_131375	11920	15552	+	3633	42	0.0150754
1873_13	k141_131375	15728	16051	+	324	6	0.0241486
1873_14	k141_131375	16048	16668	+	621	10	0.0209988
1873_15	k141_131375	16626	16775	+	150	1	0.0086935
1873_16	k141_131375	16780	17655	+	876	0	0
1873_17	k141_131375	17684	17872	+	189	0	0
1873_18	k141_131375	17911	18168	+	258	3	0.0151631
1873_19	k141_131375	18254	18928	+	675	9	0.017387
1873_20	k141_131375	19142	20230	+	1089	12	0.0143694
1873_21	k141_131375	20247	20933	+	687	9	0.0170833
1873_22	k141_131375	20923	21831	+	909	14	0.020084
1873_23	k141_131375	21859	23019	+	1161	14	0.0157247
1873_24	k141_131375	23051	24226	+	1176	31	0.0343748
1873_25	k141_131375	24363	25289	+	927	13	0.0182873
1873_26	k141_131375	25359	26141	+	783	11	0.0183196
1873_27	k141_131375	26141	27043	+	903	11	0.0158851
1873_28	k141_131375	27256	29808	+	2553	29	0.0148127
1873_29	k141_131375	29805	32000	+	2196	35	0.0207836
1873_30	k141_131375	32132	32812	+	681	5	0.00957434
1873_31	k141_131375	32831	32983	+	153	0	0
1873_32	k141_131375	33014	33493	+	480	1	0.00271672
1873_33	k141_131375	33462	33854	+	393	3	0.00995439
1873_34	k141_131375	33856	35898	+	2043	38	0.024255
1873_35	k141_131375	35962	36453	+	492	2	0.00530091
1873_36	k141_131375	36504	37529	+	1026	17	0.0216066
1873_37	k141_131375	37523	38149	+	627	4	0.00831914
1873_38	k141_131375	38171	39445	+	1275	21	0.0214781
1873_39	k141_131375	39558	39929	+	372	5	0.0175272
1873_40	k141_131375	39950	42385	+	2436	33	0.0176654
1873_41	k141_131375	42442	42855	+	414	2	0.00629964
1873_42	k141_131375	42855	44222	+	1368	13	0.012392
1873_43	k141_131375	44309	45484	-	1176	17	0.0188507
1874_1	k141_44203	3	1004	-	1002	0	0
1875_1	k141_164103	1	498	-	498	0	0
1875_2	k141_164103	638	2872	-	2235	0	0
1875_3	k141_164103	3026	3625	+	600	0	0
1876_1	k141_175175	1	66	-	66	0	0
1876_2	k141_175175	205	1395	-	1191	1	0.0010949
1877_1	k141_142261	2	757	+	756	1	0.0017249
1877_2	k141_142261	773	1831	+	1059	1	0.00123137
1877_3	k141_142261	1926	2669	-	744	0	0
1877_4	k141_142261	2656	3354	-	699	1	0.00186556
1877_5	k141_142261	3510	4271	-	762	3	0.00513396
1877_6	k141_142261	4650	5504	+	855	1	0.00152518
1877_7	k141_142261	5611	5919	-	309	0	0
1878_1	k141_131376	30	2147	+	2118	4	0.00246275
1878_2	k141_131376	2261	3631	-	1371	2	0.0019023
1879_1	k141_207854	1	522	-	522	59	0.14739
1879_2	k141_207854	674	1114	+	441	63	0.186289
1879_3	k141_207854	1064	1285	-	222	20	0.11748
1879_4	k141_207854	1350	2903	+	1554	308	0.258455
1879_5	k141_207854	2942	4249	+	1308	390	0.388815
1879_6	k141_207854	4408	5568	-	1161	333	0.374023
1879_7	k141_207854	5685	6107	+	423	58	0.178802
1879_8	k141_207854	6230	7381	+	1152	227	0.256956
1879_9	k141_207854	7394	10543	+	3150	566	0.23431
1879_10	k141_207854	10521	11978	+	1458	267	0.238803
1879_11	k141_207854	12066	12317	-	252	30	0.155241
1879_12	k141_207854	13055	13327	-	273	105	0.501548
1879_13	k141_207854	13324	13437	-	114	16	0.183021
1879_14	k141_207854	13468	14703	-	1236	206	0.217337
1879_15	k141_207854	14696	16315	-	1620	371	0.298638
1879_16	k141_207854	16319	17845	-	1527	376	0.321096
1879_17	k141_207854	17852	19882	-	2031	484	0.310757
1879_18	k141_207854	19888	21435	-	1548	289	0.243452
1879_19	k141_207854	21585	23285	-	1701	402	0.308182
1879_20	k141_207854	23665	24126	-	462	101	0.285079
1879_21	k141_207854	24474	24821	-	348	167	0.625782
1879_22	k141_207854	25167	25442	+	276	97	0.458299
1879_23	k141_207854	25820	28336	-	2517	603	0.312406
1879_24	k141_207854	28478	30466	-	1989	373	0.244546
1879_25	k141_207854	30480	33989	-	3510	732	0.27195
1879_26	k141_207854	34162	35172	-	1011	184	0.23733
1879_27	k141_207854	35775	36077	-	303	50	0.215186
1879_28	k141_207854	36217	36321	-	105	17	0.211128
1879_29	k141_207854	36452	36628	+	177	33	0.243123
1879_30	k141_207854	36847	37428	+	582	60	0.134436
1879_31	k141_207854	37557	40991	-	3435	799	0.303323
1879_32	k141_207854	41034	41150	-	117	14	0.156037
1879_33	k141_207854	41325	41924	-	600	127	0.276019
1879_34	k141_207854	42325	42738	-	414	79	0.248836
1879_35	k141_207854	42747	43949	-	1203	270	0.292674
1879_36	k141_207854	43946	44590	-	645	112	0.226435
1879_37	k141_207854	44587	46119	-	1533	329	0.279859
1879_38	k141_207854	46124	46825	-	702	167	0.310217
1879_39	k141_207854	46853	47419	-	567	104	0.239186
1879_40	k141_207854	47478	48755	-	1278	276	0.28162
1879_41	k141_207854	48957	49571	-	615	147	0.311694
1879_42	k141_207854	49591	50157	-	567	107	0.246086
1879_43	k141_207854	50148	50618	-	471	88	0.243639
1879_44	k141_207854	50804	51937	-	1134	247	0.284034
1879_45	k141_207854	52063	53622	-	1560	313	0.261641
1879_46	k141_207854	53629	55593	-	1965	477	0.31655
1879_47	k141_207854	55725	56270	+	546	102	0.243609
1879_48	k141_207854	56267	57505	+	1239	251	0.264173
1879_49	k141_207854	57562	58350	+	789	146	0.241302
1879_50	k141_207854	58452	59537	+	1086	243	0.291785
1879_51	k141_207854	60222	61406	-	1185	281	0.309224
1879_52	k141_207854	61396	62046	-	651	116	0.232361
1879_53	k141_207854	62043	62606	-	564	118	0.272828
1879_54	k141_207854	62711	65176	+	2466	512	0.270746
1879_55	k141_207854	65193	65807	+	615	74	0.156907
1879_56	k141_207854	65877	66824	+	948	182	0.250351
1879_57	k141_207854	66854	69673	+	2820	665	0.307509
1879_58	k141_207854	69688	71175	+	1488	274	0.240123
1879_59	k141_207854	71188	71895	+	708	136	0.250491
1879_60	k141_207854	71892	72404	+	513	70	0.177937
1879_61	k141_207854	72460	74529	+	2070	392	0.246946
1879_62	k141_207854	74744	75061	+	318	49	0.200935
1879_63	k141_207854	75083	75346	+	264	38	0.187701
1879_64	k141_207854	75404	76039	-	636	119	0.243992
1879_65	k141_207854	76026	76598	-	573	60	0.136547
1879_66	k141_207854	76718	77992	+	1275	349	0.356945
1879_67	k141_207854	78132	79349	+	1218	279	0.298705
1879_68	k141_207854	79534	81831	+	2298	540	0.306429
1879_69	k141_207854	82041	82187	-	147	12	0.106451
1879_70	k141_207854	82242	83012	+	771	179	0.30275
1879_71	k141_207854	82959	83333	-	375	58	0.201689
1879_72	k141_207854	83609	83830	-	222	77	0.452297
1879_73	k141_207854	84657	84878	+	222	41	0.240833
1879_74	k141_207854	85051	85227	-	177	44	0.324164
1879_75	k141_207854	85572	86327	-	756	134	0.231137
1879_76	k141_207854	86437	87879	+	1443	292	0.263877
1879_77	k141_207854	87893	88363	+	471	74	0.204879
1879_78	k141_207854	88509	89507	+	999	215	0.280646
1879_79	k141_207854	89700	90578	+	879	215	0.318959
1879_80	k141_207854	90788	91273	+	486	88	0.23612
1879_81	k141_207854	91278	92780	+	1503	324	0.281107
1879_82	k141_207854	93030	93929	+	900	293	0.424532
1879_83	k141_207854	94022	95128	+	1107	357	0.420539
1879_84	k141_207854	95241	95444	-	204	26	0.166199
1879_85	k141_207854	95428	96333	-	906	82	0.118024
1879_86	k141_207854	96526	97251	-	726	146	0.262242
1879_87	k141_207854	97500	98264	+	765	203	0.346035
1879_88	k141_207854	98419	98826	-	408	34	0.108669
1879_89	k141_207854	98955	99323	+	369	120	0.424073
1879_90	k141_207854	99335	100333	+	999	308	0.402042
1880_1	k141_76798	3	89	-	87	0	0
1880_2	k141_76798	136	951	-	816	0	0
1880_3	k141_76798	959	1339	-	381	0	0
1880_4	k141_76798	1955	2578	-	624	0	0
1880_5	k141_76798	2678	4567	-	1890	0	0
1880_6	k141_76798	4940	5389	-	450	0	0
1880_7	k141_76798	5478	5936	-	459	0	0
1880_8	k141_76798	6088	7080	+	993	0	0
1880_9	k141_76798	7084	8535	-	1452	0	0
1880_10	k141_76798	8529	10025	-	1497	0	0
1880_11	k141_76798	10367	12235	+	1869	0	0
1880_12	k141_76798	12429	12848	+	420	0	0
1880_13	k141_76798	12856	14361	+	1506	0	0
1880_14	k141_76798	14367	15332	+	966	0	0
1880_15	k141_76798	15357	16247	+	891	0	0
1880_16	k141_76798	16385	17311	+	927	0	0
1880_17	k141_76798	17324	18307	+	984	0	0
1880_18	k141_76798	18273	19700	-	1428	0	0
1880_19	k141_76798	19704	20408	-	705	0	0
1881_1	k141_142263	2	1273	-	1272	47	0.0481833
1882_1	k141_33155	1	429	-	429	2	0.00607937
1882_2	k141_33155	1085	2527	+	1443	25	0.0225923
1882_3	k141_33155	2607	4133	-	1527	18	0.0153716
1882_4	k141_33155	4144	4311	-	168	4	0.0310482
1882_5	k141_33155	4668	5438	+	771	8	0.0135307
1882_6	k141_33155	5454	5594	+	141	0	0
1882_7	k141_33155	5724	7235	+	1512	15	0.0129368
1882_8	k141_33155	7520	10069	+	2550	27	0.0138073
1882_9	k141_33155	10140	11300	-	1161	13	0.0146015
1882_10	k141_33155	11297	11611	-	315	2	0.00827952
1882_11	k141_33155	11959	13428	+	1470	18	0.0159676
1882_12	k141_33155	13617	13865	+	249	4	0.0209482
1882_13	k141_33155	13949	15559	-	1611	16	0.0129512
1882_14	k141_33155	15588	16766	-	1179	7	0.0077423
1882_15	k141_33155	17239	18447	+	1209	17	0.0183362
1882_16	k141_33155	18506	19792	-	1287	23	0.0233042
1882_17	k141_33155	20155	21372	+	1218	21	0.0224832
1882_18	k141_33155	21599	24757	-	3159	42	0.0173375
1882_19	k141_33155	24886	25875	-	990	11	0.0144892
1882_20	k141_33155	26010	28211	+	2202	30	0.017766
1882_21	k141_33155	28222	28863	+	642	3	0.00609357
1882_22	k141_33155	29013	30839	-	1827	21	0.0149888
1882_23	k141_33155	30957	31877	+	921	6	0.00849527
1882_24	k141_33155	32151	33704	+	1554	16	0.0134263
1882_25	k141_33155	33720	34115	+	396	3	0.00987897
1882_26	k141_33155	34163	35263	+	1101	5	0.005922
1882_27	k141_33155	35260	36696	-	1437	5	0.00453732
1882_28	k141_33155	36891	37460	+	570	9	0.0205899
1882_29	k141_33155	37598	38569	+	972	14	0.0187822
1882_30	k141_33155	38540	39853	-	1314	15	0.0148861
1882_31	k141_33155	39850	40536	-	687	4	0.00759257
1882_32	k141_33155	40632	42926	+	2295	33	0.0187507
1882_33	k141_33155	42941	43894	-	954	12	0.0164028
1882_34	k141_33155	44007	45548	+	1542	13	0.0109937
1882_35	k141_33155	45712	45963	+	252	2	0.0103494
1882_36	k141_33155	46018	47034	-	1017	19	0.0243623
1882_37	k141_33155	47249	48235	+	987	9	0.0118908
1882_38	k141_33155	48724	48807	-	84	3	0.0465723
1883_1	k141_175184	1	1086	+	1086	2	0.00240152
1884_1	k141_11390	1	93	-	93	7	0.0981524
1884_2	k141_11390	285	992	+	708	6	0.0110511
1884_3	k141_11390	989	1384	-	396	6	0.0197579
1884_4	k141_11390	1526	2398	-	873	12	0.0179247
1884_5	k141_11390	2534	3712	-	1179	13	0.0143786
1884_6	k141_11390	3712	4851	-	1140	20	0.0228776
1884_7	k141_11390	4865	6124	-	1260	16	0.016559
1884_8	k141_11390	6121	6981	-	861	13	0.0196891
1884_9	k141_11390	7019	8467	-	1449	32	0.0287983
1884_10	k141_11390	8998	9207	+	210	6	0.0372578
1885_1	k141_175185	109	1008	+	900	2	0.00289783
1886_1	k141_207858	3	1097	-	1095	0	0
1887_1	k141_120667	3	227	+	225	1	0.00579567
1887_2	k141_120667	290	982	+	693	43	0.0809135
1887_3	k141_120667	1264	2226	+	963	51	0.0690605
1887_4	k141_120667	2252	3070	+	819	27	0.0429898
1887_5	k141_120667	3197	3784	+	588	20	0.0443546
1887_6	k141_120667	3937	4734	+	798	39	0.0637305
1887_7	k141_120667	4800	5414	+	615	30	0.063611
1887_8	k141_120667	5670	6881	+	1212	26	0.0279741
1887_9	k141_120667	6944	7984	-	1041	27	0.033822
1887_10	k141_120667	8153	8335	-	183	5	0.0356291
1887_11	k141_120667	8487	9128	+	642	16	0.0324991
1887_12	k141_120667	9185	10258	+	1074	17	0.020641
1887_13	k141_120667	10323	10886	-	564	19	0.0439299
1887_14	k141_120667	10883	11074	-	192	1	0.0067918
1887_15	k141_120667	11061	11240	-	180	8	0.0579567
1887_16	k141_120667	11237	11515	-	279	16	0.0747828
1887_17	k141_120667	11854	12081	+	228	25	0.142985
1887_18	k141_120667	12362	12628	-	267	16	0.0781438
1887_19	k141_120667	12854	13600	-	747	13	0.0226939
1887_20	k141_120667	13707	14240	-	534	12	0.0293039
1887_21	k141_120667	14284	14742	-	459	7	0.0198871
1887_22	k141_120667	15306	15569	-	264	17	0.0839713
1887_23	k141_120667	15599	15943	-	345	12	0.0453574
1888_1	k141_142266	1	1227	+	1227	11	0.0116905
1888_2	k141_142266	1435	1827	-	393	1	0.00331813
1888_3	k141_142266	1926	2414	+	489	0	0
1888_4	k141_142266	2398	3234	+	837	3	0.00467392
1888_5	k141_142266	3278	3427	+	150	0	0
1889_1	k141_175190	2	1813	-	1812	0	0
1889_2	k141_175190	2006	2065	+	60	0	0
1890_1	k141_120670	306	1643	+	1338	10	0.00974607
1890_2	k141_120670	1632	1883	-	252	0	0
1891_1	k141_33163	472	1119	+	648	64	0.128793
1891_2	k141_33163	1532	2848	-	1317	59	0.0584187
1892_1	k141_131381	2	163	+	162	2	0.0160991
1892_2	k141_131381	389	2194	+	1806	21	0.0151631
1892_3	k141_131381	2331	3560	-	1230	19	0.0201435
1892_4	k141_131381	3616	3834	-	219	1	0.00595445
1892_5	k141_131381	3903	5843	-	1941	21	0.0141085
1892_6	k141_131381	5831	6265	-	435	5	0.0149888
1892_7	k141_131381	6445	6699	-	255	0	0
1893_1	k141_153208	1	276	-	276	18	0.0850451
1893_2	k141_153208	292	489	-	198	8	0.0526879
1893_3	k141_153208	529	693	-	165	8	0.0632254
1893_4	k141_153208	838	1185	-	348	6	0.0224832
1893_5	k141_153208	1416	2582	-	1167	39	0.0435792
1893_6	k141_153208	2627	3124	-	498	9	0.0235667
1893_7	k141_153208	3168	5987	-	2820	103	0.0476293
1893_8	k141_153208	6181	6774	+	594	6	0.013172
1893_9	k141_153208	6833	9364	-	2532	125	0.0643772
1893_10	k141_153208	9348	9740	-	393	5	0.0165906
1893_11	k141_153208	10021	11307	+	1287	47	0.0476217
1893_12	k141_153208	11672	12169	-	498	6	0.0157111
1893_13	k141_153208	12188	13186	-	999	43	0.0561292
1893_14	k141_153208	13189	14664	-	1476	81	0.0715623
1893_15	k141_153208	14785	15492	-	708	24	0.0442042
1893_16	k141_153208	15673	16545	+	873	13	0.0194185
1893_17	k141_153208	16651	17532	+	882	22	0.0325267
1893_18	k141_153208	17690	18787	+	1098	33	0.039192
1893_19	k141_153208	18972	19661	-	690	20	0.0377978
1893_20	k141_153208	19677	20198	-	522	21	0.0524608
1893_21	k141_153208	20221	21096	-	876	54	0.0803851
1893_22	k141_153208	21112	21609	-	498	8	0.0209482
1893_23	k141_153208	21643	22998	-	1356	49	0.0471218
1893_24	k141_153208	23041	23325	-	285	3	0.0137266
1893_25	k141_153208	23382	23849	-	468	14	0.0390093
1893_26	k141_153208	23869	25917	-	2049	35	0.0222747
1893_27	k141_153208	26237	27871	-	1635	64	0.0510444
1893_28	k141_153208	27868	28962	-	1095	30	0.0357267
1893_29	k141_153208	28991	29692	-	702	11	0.0204334
1893_30	k141_153208	29708	30736	-	1029	36	0.0456219
1893_31	k141_153208	30823	31656	-	834	22	0.0343987
1893_32	k141_153208	32117	33418	+	1302	44	0.0440684
1893_33	k141_153208	33520	34875	+	1356	83	0.0798186
1893_34	k141_153208	35204	36061	-	858	39	0.0592738
1893_35	k141_153208	36033	37334	-	1302	56	0.0560871
1893_36	k141_153208	37370	38095	-	726	42	0.0754394
1894_1	k141_120680	3	113	-	111	0	0
1894_2	k141_120680	237	1553	+	1317	1	0.000990148
1895_1	k141_153210	2	1522	-	1521	3	0.00257204
1896_1	k141_207866	53	445	+	393	11	0.0364994
1896_2	k141_207866	1169	1954	+	786	24	0.0398175
1896_3	k141_207866	3253	4311	+	1059	78	0.0960471
1896_4	k141_207866	4476	5327	+	852	83	0.127035
1896_5	k141_207866	5329	6096	+	768	44	0.0747097
1897_1	k141_306	3	113	-	111	0	0
1897_2	k141_306	322	897	-	576	8	0.0181115
1897_3	k141_306	1008	1634	-	627	7	0.0145585
1897_4	k141_306	1767	2246	+	480	51	0.138553
