# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_10_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_10/A17_2_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_10/A17_2.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_10/A17_2.bam	RPKG
5747_19	k141_153843	11955	12347	-	393	25	0.0261177
5747_20	k141_153843	12359	13321	-	963	26	0.011085
5747_21	k141_153843	13334	14710	-	1377	61	0.018188
5747_22	k141_153843	14703	14915	-	213	3	0.00578269
5747_23	k141_153843	14929	18546	-	3618	127	0.014412
5747_24	k141_153843	18674	19330	-	657	22	0.0137482
5747_25	k141_153843	19434	19958	-	525	13	0.0101665
5747_26	k141_153843	19977	21428	-	1452	46	0.0130071
5747_27	k141_153843	21444	21752	-	309	6	0.00797225
5747_28	k141_153843	21749	22276	-	528	15	0.0116639
5747_29	k141_153843	22283	22978	-	696	11	0.00648891
5747_30	k141_153843	22975	23388	-	414	6	0.0059503
5747_31	k141_153843	23445	24497	-	1053	23	0.00896784
5747_32	k141_153843	24513	24863	-	351	22	0.0257338
5747_33	k141_153843	24878	25996	-	1119	31	0.0113742
5747_34	k141_153843	25999	27609	-	1611	58	0.0147816
5747_35	k141_153843	27606	27842	-	237	1	0.00173237
5747_36	k141_153843	27842	29632	-	1791	56	0.0128375
5747_37	k141_153843	29782	30267	-	486	26	0.0219647
5747_38	k141_153843	30264	31046	-	783	17	0.00891406
5747_39	k141_153843	31209	32249	-	1041	42	0.0165648
5747_40	k141_153843	32378	32626	+	249	5	0.0082444
5747_41	k141_153843	33176	33394	-	219	14	0.0262465
5747_42	k141_153843	33910	34401	+	492	15	0.0125174
5747_43	k141_153843	34533	34730	+	198	6	0.0124415
5747_44	k141_153843	34863	35306	+	444	20	0.0184942
5747_45	k141_153843	35703	36599	+	897	25	0.0114429
5747_46	k141_153843	36716	37051	+	336	17	0.0207729
5747_47	k141_153843	37218	37436	+	219	9	0.0168728
5747_48	k141_153843	37352	37693	-	342	4	0.004802
5747_49	k141_153843	37665	37925	-	261	4	0.00629228
5747_50	k141_153843	37928	38185	-	258	7	0.0111395
5747_51	k141_153843	38182	38379	-	198	11	0.0228095
5747_52	k141_153843	38418	38735	-	318	2	0.00258221
5747_53	k141_153843	38941	39423	-	483	12	0.0102005
5747_54	k141_153843	39449	40078	-	630	13	0.0084721
5747_55	k141_153843	40075	40290	-	216	3	0.00570237
5747_56	k141_153843	40295	40792	-	498	19	0.0156644
5747_57	k141_153843	40789	41355	-	567	17	0.0123099
5747_58	k141_153843	41358	41633	-	276	2	0.00297515
5747_59	k141_153843	41650	42510	-	861	28	0.0133519
5747_60	k141_153843	42873	43940	-	1068	41	0.0157616
5747_61	k141_153843	43930	44589	-	660	33	0.0205285
5747_62	k141_153843	44603	44737	-	135	6	0.0182476
5747_63	k141_153843	44798	45976	-	1179	25	0.00870592
5747_64	k141_153843	45982	46524	-	543	12	0.00907339
5747_65	k141_153843	46544	47236	-	693	10	0.00592455
5747_66	k141_153843	47224	47682	-	459	7	0.00626143
5747_67	k141_153843	47925	48251	-	327	17	0.0213447
5747_68	k141_153843	48267	48503	-	237	6	0.0103942
5747_69	k141_153843	48618	49274	-	657	14	0.00874885
5747_70	k141_153843	49484	50356	-	873	36	0.0169308
5747_71	k141_153843	50484	51227	+	744	20	0.0110369
5747_72	k141_153843	51365	51532	-	168	8	0.019551
5747_73	k141_153843	51730	52569	-	840	26	0.0127081
5747_74	k141_153843	52601	53527	-	927	23	0.0101868
5747_75	k141_153843	53527	53850	-	324	9	0.0114047
5747_76	k141_153843	53888	54532	-	645	17	0.0108213
5747_77	k141_153843	54680	55189	+	510	15	0.0120756
5747_78	k141_153843	55373	55597	+	225	4	0.00729904
5747_79	k141_153843	55686	56531	-	846	41	0.0198976
5747_80	k141_153843	56605	57273	-	669	22	0.0135016
5747_81	k141_153843	57820	59175	+	1356	42	0.0127168
5747_82	k141_153843	59311	60225	+	915	21	0.00942294
5747_83	k141_153843	60242	61210	+	969	20	0.00847412
5747_84	k141_153843	61484	62413	+	930	47	0.0207493
5747_85	k141_153843	62425	62874	+	450	11	0.0100362
5747_86	k141_153843	63056	63181	+	126	2	0.006517
5748_1	k141_96601	3	119	-	117	17	0.0596556
5748_2	k141_96601	236	2776	-	2541	920	0.148652
5748_3	k141_96601	2819	3238	-	420	116	0.113396
5749_1	k141_39318	3	968	-	966	3	0.00127507
5750_1	k141_20366	651	914	+	264	27	0.0419902
5750_2	k141_20366	1285	2775	+	1491	175	0.0481891
5750_3	k141_20366	2843	4237	+	1395	175	0.0515053
5750_4	k141_20366	4317	4910	+	594	57	0.0393982
5750_5	k141_20366	4900	6447	+	1548	143	0.0379274
5750_6	k141_20366	6431	6670	+	240	10	0.0171071
5750_7	k141_20366	6654	7718	+	1065	136	0.0524297
5750_8	k141_20366	7856	8806	+	951	145	0.0626002
5750_9	k141_20366	9033	9884	+	852	149	0.0718017
5750_10	k141_20366	10092	11906	-	1815	215	0.0486351
5750_11	k141_20366	12190	12654	+	465	43	0.0379668
5750_12	k141_20366	12695	14803	+	2109	212	0.0412712
5750_13	k141_20366	14834	14932	-	99	5	0.0207359
5750_14	k141_20366	15005	15667	+	663	77	0.0476832
5750_15	k141_20366	15790	16278	+	489	45	0.0377826
5750_16	k141_20366	16275	17543	+	1269	143	0.0462661
5750_17	k141_20366	17650	18954	+	1305	134	0.0421582
5750_18	k141_20366	19133	19828	+	696	71	0.041883
5750_19	k141_20366	19953	21314	+	1362	142	0.0428055
5750_20	k141_20366	21443	21601	+	159	16	0.0413153
5750_21	k141_20366	21793	23295	+	1503	176	0.0480775
5750_22	k141_20366	23512	23784	+	273	11	0.0165432
5750_23	k141_20366	23826	25463	+	1638	178	0.0446164
5750_24	k141_20366	25595	26617	+	1023	111	0.0445488
5750_25	k141_20366	26787	29315	-	2529	276	0.0448073
5750_26	k141_20366	29627	30604	+	978	93	0.039042
5750_27	k141_20366	30620	30919	+	300	46	0.0629542
5751_1	k141_67942	1	750	-	750	5	0.00273714
5751_2	k141_67942	896	1054	-	159	4	0.0103288
5752_1	k141_153844	3	86	-	84	4	0.019551
5752_2	k141_153844	376	1008	+	633	135	0.0875625
5753_1	k141_1085	116	424	-	309	3	0.00398613
5753_2	k141_1085	539	823	-	285	1	0.0014406
5753_3	k141_1085	1067	1501	-	435	8	0.00755073
5754_1	k141_87002	175	1530	-	1356	24	0.00726674
5754_2	k141_87002	1604	2221	-	618	10	0.00664354
5755_1	k141_163713	3	158	+	156	6	0.0157912
5755_2	k141_163713	275	895	-	621	4	0.00264458
5755_3	k141_163713	873	1301	-	429	4	0.00382817
5756_1	k141_10830	40	1164	-	1125	1336	0.487576
5756_2	k141_10830	1211	1336	-	126	252	0.821142
5756_3	k141_10830	1434	2723	-	1290	3411	1.08563
5756_4	k141_10830	3606	4322	-	717	1957	1.12062
5757_1	k141_172884	2	712	+	711	81	0.0467739
5757_2	k141_172884	853	1170	+	318	60	0.0774662
5757_3	k141_172884	1179	1490	+	312	65	0.0855356
5757_4	k141_172884	1555	2379	+	825	136	0.067682
5758_1	k141_67943	110	1384	+	1275	3	0.000966049
5759_1	k141_115723	1	2166	+	2166	48	0.00909853
5759_2	k141_115723	2156	2917	+	762	6	0.00323284
5760_1	k141_96605	403	1218	+	816	956	0.481012
5761_1	k141_144423	2	1030	-	1029	3	0.001197
5762_1	k141_77523	3	503	+	501	60	0.0491702
5762_2	k141_77523	710	2056	-	1347	283	0.0862595
5762_3	k141_77523	2305	3630	+	1326	283	0.0876256
5762_4	k141_77523	3676	4923	-	1248	252	0.0829038
5762_5	k141_77523	5023	5955	-	933	177	0.0778897
5762_6	k141_77523	6042	7319	-	1278	211	0.067786
5762_7	k141_77523	7316	7981	-	666	105	0.0647297
5762_8	k141_77523	8195	10057	+	1863	286	0.0630291
5762_9	k141_77523	10060	11652	+	1593	290	0.074743
5762_10	k141_77523	11813	13129	+	1317	227	0.0707666
5762_11	k141_77523	13236	14348	+	1113	237	0.0874262
5762_12	k141_77523	14485	15933	+	1449	248	0.0702703
5762_13	k141_77523	16129	17202	+	1074	180	0.0688108
5762_14	k141_77523	17199	18647	+	1449	272	0.0770706
5762_15	k141_77523	18823	19746	-	924	143	0.0635407
5762_16	k141_77523	19805	21079	+	1275	243	0.07825
5762_17	k141_77523	21392	24460	+	3069	553	0.0739804
5762_18	k141_77523	24600	24908	+	309	60	0.0797225
5762_19	k141_77523	24931	25179	+	249	31	0.0511153
5762_20	k141_77523	25248	26939	+	1692	221	0.0536266
5762_21	k141_77523	26940	28073	+	1134	172	0.0622736
5762_22	k141_77523	28164	29369	+	1206	247	0.0840888
5762_23	k141_77523	29613	29840	+	228	57	0.102643
5762_24	k141_77523	29870	30763	+	894	159	0.073021
5762_25	k141_77523	31026	31457	+	432	90	0.0855356
5762_26	k141_77523	31473	32165	+	693	148	0.0876833
5763_1	k141_87004	2	436	+	435	10	0.00943841
5763_2	k141_87004	452	844	+	393	4	0.00417884
5763_3	k141_87004	1312	1563	+	252	1	0.00162925
5764_1	k141_163714	13	1275	+	1263	2	0.000650152
5764_2	k141_163714	1452	1739	-	288	2	0.00285119
5765_1	k141_48938	216	1103	+	888	42	0.0194189
5765_2	k141_48938	1175	1777	-	603	30	0.0204264
5765_3	k141_48938	1826	2896	-	1071	17	0.006517
5765_4	k141_48938	2915	3070	+	156	6	0.0157912
5765_5	k141_48938	3092	3868	+	777	16	0.00845449
5765_6	k141_48938	3856	4767	+	912	38	0.0171071
5765_7	k141_48938	4904	6127	+	1224	32	0.0107339
5765_8	k141_48938	6166	7788	+	1623	61	0.0154312
5765_9	k141_48938	7920	8975	+	1056	28	0.0108864
5765_10	k141_48938	9055	9900	+	846	31	0.0150446
5765_11	k141_48938	9973	11232	+	1260	41	0.0133598
5765_12	k141_48938	11222	12217	+	996	36	0.0148399
5765_13	k141_48938	12279	13562	+	1284	34	0.0108718
5765_14	k141_48938	13559	14089	+	531	5	0.00386602
5765_15	k141_48938	14130	14954	+	825	18	0.00895791
5765_16	k141_48938	14982	15383	+	402	16	0.0163411
5765_17	k141_48938	16211	17092	-	882	50	0.023275
5766_1	k141_67946	3	419	-	417	2	0.00196917
5766_2	k141_67946	416	1117	-	702	8	0.00467887
5767_1	k141_10833	2	1873	+	1872	18	0.0039478
5768_1	k141_48939	3	1088	-	1086	78	0.0294885
5769_1	k141_20368	210	1223	+	1014	26	0.0105275
5769_2	k141_20368	1241	2194	+	954	10	0.00430368
5769_3	k141_20368	2247	3698	+	1452	25	0.00706906
5769_4	k141_20368	4174	4251	+	78	0	0
5770_1	k141_77526	218	1507	+	1290	27	0.00859335
5771_1	k141_67948	70	1131	+	1062	59	0.0228095
5772_1	k141_163718	1	681	+	681	263	0.158561
5772_2	k141_163718	753	1361	+	609	160	0.107868
5772_3	k141_163718	1361	1657	+	297	149	0.205977
5773_1	k141_106562	250	2325	+	2076	99	0.0195793
5773_2	k141_106562	2346	4532	+	2187	156	0.0292863
5773_3	k141_106562	4947	5399	+	453	40	0.0362535
5773_4	k141_106562	5531	6163	+	633	34	0.0220528
5773_5	k141_106562	6160	7629	+	1470	67	0.0187131
5773_6	k141_106562	7676	8599	+	924	48	0.0213284
5773_7	k141_106562	8770	9162	+	393	33	0.0344754
5773_8	k141_106562	9211	10872	+	1662	74	0.0182805
5773_9	k141_106562	10888	11685	+	798	36	0.018522
5773_10	k141_106562	11697	11978	+	282	11	0.0160152
5773_11	k141_106562	11975	12214	+	240	9	0.0153964
5773_12	k141_106562	12289	12573	+	285	19	0.0273714
5773_13	k141_106562	12580	13038	+	459	24	0.0214678
5773_14	k141_106562	13085	13366	+	282	1	0.00145593
5773_15	k141_106562	13400	13864	+	465	30	0.0264885
5773_16	k141_106562	15029	16201	+	1173	52	0.0182009
5773_17	k141_106562	16198	17040	+	843	38	0.0185074
5773_18	k141_106562	17236	17763	+	528	35	0.0272159
5773_19	k141_106562	17852	18715	+	864	32	0.0152063
5773_20	k141_106562	18988	19419	-	432	22	0.0209087
5774_1	k141_134724	2	418	+	417	13	0.0127996
5774_2	k141_134724	432	614	+	183	3	0.00673067
5774_3	k141_134724	788	2122	+	1335	54	0.0166074
5774_4	k141_134724	2288	3718	+	1431	57	0.016354
5774_5	k141_134724	3715	4455	+	741	29	0.0160682
5774_6	k141_134724	4982	5557	-	576	10	0.00712797
5774_7	k141_134724	5716	6735	+	1020	19	0.00764789
5775_1	k141_39320	290	649	-	360	9	0.0102643
5775_2	k141_39320	824	1324	-	501	6	0.00491702
5775_3	k141_39320	1339	1887	-	549	14	0.0104699
5775_4	k141_39320	1960	2625	-	666	16	0.00986357
5775_5	k141_39320	2648	3226	-	579	11	0.00780014
5775_6	k141_39320	3277	4344	-	1068	15	0.00576645
5775_7	k141_39320	4440	6200	-	1761	23	0.00536237
5776_1	k141_48941	3	584	-	582	7	0.00493814
5776_2	k141_48941	701	1657	-	957	12	0.00514823
5777_1	k141_172893	168	2696	+	2529	15	0.00243518
5778_1	k141_10837	262	1488	-	1227	27	0.00903457
5779_1	k141_96606	1	435	-	435	0	0
5779_2	k141_96606	568	831	-	264	0	0
5779_3	k141_96606	883	1968	+	1086	15	0.00567087
5779_4	k141_96606	1916	2629	+	714	4	0.00230012
5779_5	k141_96606	2752	2952	+	201	2	0.00408528
5779_6	k141_96606	3194	4963	+	1770	7	0.00162373
5779_7	k141_96606	5053	5229	+	177	0	0
5780_1	k141_48943	1	1278	+	1278	1	0.000321261
5781_1	k141_77531	1	324	+	324	78	0.0988412
5781_2	k141_77531	658	1260	+	603	89	0.0605984
5782_1	k141_163722	3	323	-	321	0	0
5782_2	k141_163722	412	1314	+	903	4	0.0018187
5783_1	k141_10838	2	1774	-	1773	27	0.00625235
5784_1	k141_106566	72	677	-	606	4	0.00271004
5784_2	k141_106566	701	1213	-	513	0	0
5785_1	k141_115728	68	982	-	915	4	0.00179485
5785_2	k141_115728	999	1502	-	504	4	0.0032585
5785_3	k141_115728	1513	2634	-	1122	15	0.00548892
5785_4	k141_115728	2646	3485	-	840	17	0.00830917
5785_5	k141_115728	3721	4158	+	438	7	0.00656164
5785_6	k141_115728	4171	5148	+	978	27	0.0113348
5785_7	k141_115728	5271	6032	-	762	14	0.0075433
5786_1	k141_172895	2	994	-	993	0	0
5786_2	k141_172895	1353	2225	+	873	4	0.0018812
5786_3	k141_172895	2262	2675	-	414	0	0
5787_1	k141_163723	197	634	-	438	17	0.0159354
5787_2	k141_163723	631	1209	-	579	28	0.0198549
5788_1	k141_134732	2	1078	-	1077	31	0.0118177
5789_1	k141_106570	1	1173	-	1173	3	0.00105005
5790_1	k141_67961	2	724	-	723	0	0
5790_2	k141_67961	977	1183	-	207	2	0.00396687
5791_1	k141_115730	2	394	+	393	108	0.112829
5791_2	k141_115730	740	916	-	177	0	0
5792_1	k141_134733	151	771	+	621	20	0.0132229
5792_2	k141_134733	818	1276	+	459	21	0.0187843
5793_1	k141_10841	2	103	-	102	0	0
5793_2	k141_10841	177	1196	-	1020	9	0.00362269
5793_3	k141_10841	1315	1518	-	204	0	0
5793_4	k141_10841	1508	2425	-	918	9	0.00402521
5794_1	k141_77532	2	2659	+	2658	31	0.00478845
5794_2	k141_77532	2762	3016	+	255	2	0.00322016
5794_3	k141_77532	3240	4118	+	879	5	0.00233544
5795_1	k141_77533	2	940	-	939	4	0.00174897
5796_1	k141_106572	2	1447	-	1446	11	0.00312329
5796_2	k141_106572	1432	2253	-	822	14	0.00699269
5797_1	k141_67963	2	871	-	870	0	0
5797_2	k141_67963	976	1977	-	1002	0	0
5797_3	k141_67963	2143	2433	-	291	0	0
5798_1	k141_48955	2	301	-	300	10	0.0136857
5798_2	k141_48955	391	795	+	405	14	0.0141926
5798_3	k141_48955	879	2201	-	1323	31	0.00962033
5798_4	k141_48955	2179	2406	-	228	4	0.007203
5799_1	k141_182690	99	662	-	564	89	0.0647887
5799_2	k141_182690	839	1375	+	537	77	0.0588714
5799_3	k141_182690	1613	2170	+	558	53	0.0389969
5799_4	k141_182690	2468	3133	-	666	88	0.0542496
5799_5	k141_182690	3546	5690	+	2145	262	0.050149
5799_6	k141_182690	6366	10871	+	4506	482	0.0439182
5799_7	k141_182690	11053	12087	-	1035	117	0.0464124
5799_8	k141_182690	12136	13248	-	1113	135	0.0497997
5799_9	k141_182690	13248	13508	-	261	18	0.0283152
5799_10	k141_182690	13599	16097	-	2499	279	0.0458381
5799_11	k141_182690	16156	16668	-	513	67	0.0536223
5799_12	k141_182690	16670	16918	-	249	33	0.054413
5799_13	k141_182690	17141	17461	-	321	61	0.0780213
5799_14	k141_182690	17568	18173	+	606	81	0.0548783
5799_15	k141_182690	18416	19441	+	1026	125	0.0500208
5799_16	k141_182690	19498	20874	+	1377	141	0.042041
5799_17	k141_182690	20878	21738	+	861	84	0.0400557
5799_18	k141_182690	21738	22283	+	546	65	0.0488775
5799_19	k141_182690	22376	22561	-	186	52	0.114783
5799_20	k141_182690	23158	25050	+	1893	229	0.0496676
5799_21	k141_182690	25053	25895	+	843	69	0.0336055
5799_22	k141_182690	26004	26969	+	966	95	0.0403771
5799_23	k141_182690	27042	27458	+	417	68	0.0669516
5799_24	k141_182690	27857	30157	+	2301	315	0.0562059
5799_25	k141_182690	30631	31299	-	669	85	0.0521652
5799_26	k141_182690	31495	32205	+	711	127	0.0733369
5799_27	k141_182690	32573	34048	+	1476	145	0.0403339
5800_1	k141_153847	139	699	-	561	80	0.0585484
5800_2	k141_153847	870	2351	+	1482	133	0.0368461
5800_3	k141_153847	2553	3494	+	942	82	0.0357397
5800_4	k141_153847	3677	4990	+	1314	127	0.0396823
5800_5	k141_153847	5224	6672	+	1449	141	0.039952
5800_6	k141_153847	6681	7259	+	579	46	0.0326188
5800_7	k141_153847	7256	8545	+	1290	77	0.024507
5800_8	k141_153847	8700	10142	+	1443	138	0.0392646
5800_9	k141_153847	10387	12048	-	1662	167	0.0412547
5800_10	k141_153847	12282	14111	+	1830	181	0.0406084
5801_1	k141_115736	2	1615	+	1614	117	0.0297626
5801_2	k141_115736	1608	2795	+	1188	112	0.038707
5801_3	k141_115736	2795	3595	+	801	40	0.0205029
5801_4	k141_115736	3598	3687	+	90	0	0
5802_1	k141_20373	1	312	-	312	5	0.00657966
5802_2	k141_20373	665	1555	-	891	42	0.0193535
5802_3	k141_20373	1757	2977	+	1221	38	0.0127778
5802_4	k141_20373	3023	3691	+	669	26	0.0159564
5802_5	k141_20373	3707	4582	+	876	42	0.0196849
5802_6	k141_20373	4721	4924	+	204	26	0.0523277
5802_7	k141_20373	5037	6710	+	1674	74	0.0181495
5802_8	k141_20373	6809	7159	+	351	27	0.0315824
5802_9	k141_20373	7283	8023	+	741	11	0.00609485
5802_10	k141_20373	8001	8135	+	135	0	0
5802_11	k141_20373	8192	9406	-	1215	7	0.00236543
5803_1	k141_48958	2	1024	+	1023	12	0.00481608
5803_2	k141_48958	1093	1971	-	879	14	0.00653924
5804_1	k141_144424	2	523	+	522	140	0.110115
5804_2	k141_144424	636	1577	+	942	14	0.0061019
5804_3	k141_144424	1570	2364	+	795	19	0.00981239
5804_4	k141_144424	2432	2569	-	138	0	0
5804_5	k141_144424	2580	3950	-	1371	43	0.0128771
5804_6	k141_144424	3963	4823	-	861	16	0.00762966
5804_7	k141_144424	5053	6345	+	1293	73	0.02318
5804_8	k141_144424	6413	6775	-	363	19	0.0214899
5804_9	k141_144424	6823	7281	-	459	27	0.0241512
5804_10	k141_144424	7563	9026	-	1464	65	0.0182289
5804_11	k141_144424	9042	9884	-	843	32	0.0155851
5804_12	k141_144424	9884	10735	-	852	77	0.0371056
5804_13	k141_144424	10839	12179	-	1341	176	0.0538855
5804_14	k141_144424	12251	13258	-	1008	37	0.0150706
5804_15	k141_144424	13613	14329	-	717	12	0.00687148
5804_16	k141_144424	14485	14736	-	252	0	0
5805_1	k141_115737	1	1053	+	1053	12	0.00467887
5805_2	k141_115737	1066	1161	+	96	0	0
5806_1	k141_106577	2	586	+	585	10	0.00701831
5806_2	k141_106577	634	1296	+	663	12	0.00743115
5806_3	k141_106577	1293	2804	+	1512	12	0.0032585
5806_4	k141_106577	2917	3528	+	612	7	0.00469607
5807_1	k141_48961	2	604	+	603	746	0.507937
5807_2	k141_48961	948	1049	-	102	50	0.20126
5808_1	k141_67964	2	298	-	297	13	0.0179711
5808_2	k141_67964	301	960	-	660	54	0.0335922
5808_3	k141_67964	1217	1417	-	201	20	0.0408528
5808_4	k141_67964	1414	1638	-	225	3	0.00547428
5808_5	k141_67964	1852	2331	+	480	36	0.0307928
5808_6	k141_67964	2328	3770	+	1443	105	0.0298752
5808_7	k141_67964	3859	4914	-	1056	63	0.0244943
5809_1	k141_39321	309	674	+	366	10	0.0112178
5809_2	k141_39321	717	1277	+	561	23	0.0168327
5809_3	k141_39321	1296	3368	+	2073	75	0.0148542
5809_4	k141_39321	3478	4221	+	744	19	0.010485
5809_5	k141_39321	4268	4858	+	591	31	0.0215359
5809_6	k141_39321	4943	5623	+	681	42	0.0253216
5809_7	k141_39321	5668	6381	+	714	21	0.0120756
5809_8	k141_39321	6509	6922	-	414	22	0.0218178
5809_9	k141_39321	6967	8520	-	1554	50	0.0132101
5809_10	k141_39321	8580	11933	-	3354	201	0.0246049
5809_11	k141_39321	12031	12417	-	387	21	0.022279
5809_12	k141_39321	12457	13707	-	1251	55	0.0180507
5810_1	k141_87005	198	1094	-	897	10	0.00457716
5810_2	k141_87005	1247	1804	-	558	5	0.00367895
5810_3	k141_87005	1894	2880	-	987	9	0.00374381
5810_4	k141_87005	2882	3769	-	888	7	0.00323648
5810_5	k141_87005	3771	4280	-	510	5	0.00402521
5810_6	k141_87005	4306	4872	-	567	6	0.00434467
5810_7	k141_87005	4850	5254	-	405	4	0.00405502
5810_8	k141_87005	5455	6027	+	573	5	0.00358264
5810_9	k141_87005	6087	7520	-	1434	13	0.00372205
5810_10	k141_87005	7630	9528	-	1899	25	0.00540509
5810_11	k141_87005	9776	10786	-	1011	9	0.00365493
5810_12	k141_87005	10786	11940	-	1155	4	0.00142189
5810_13	k141_87005	11956	12990	-	1035	13	0.00515693
5810_14	k141_87005	13060	13971	-	912	7	0.00315131
5810_15	k141_87005	14220	14426	+	207	0	0
5810_16	k141_87005	14493	15041	-	549	7	0.00523497
5810_17	k141_87005	15073	15348	-	276	0	0
5810_18	k141_87005	15408	15635	-	228	0	0
5810_19	k141_87005	15798	16070	-	273	1	0.00150392
5810_20	k141_87005	16067	16309	-	243	6	0.0101376
5810_21	k141_87005	16440	16928	-	489	9	0.00755652
5811_1	k141_77535	2	226	+	225	28	0.0510933
5811_2	k141_77535	799	2304	+	1506	3766	1.0267
5811_3	k141_77535	3012	3893	+	882	2050	0.954275
5811_4	k141_77535	3893	4855	+	963	1892	0.806646
5811_5	k141_77535	4855	5619	+	765	1527	0.819532
5811_6	k141_77535	5616	6335	+	720	1432	0.81658
5811_7	k141_77535	6301	6465	-	165	254	0.63203
5812_1	k141_115738	2	154	-	153	0	0
5812_2	k141_115738	399	1580	-	1182	16	0.00555764
5812_3	k141_115738	1740	2600	+	861	16	0.00762966
5812_4	k141_115738	2840	3079	+	240	1	0.00171071
5812_5	k141_115738	3045	3527	+	483	7	0.0059503
5813_1	k141_182700	2	2356	-	2355	2	0.00034868
5814_1	k141_144434	58	1011	+	954	9	0.00387331
5815_1	k141_106584	2	94	+	93	1	0.00441474
5815_2	k141_106584	84	932	+	849	26	0.0125734
5815_3	k141_106584	967	1917	+	951	33	0.0142469
5816_1	k141_20379	2	106	-	105	1	0.0039102
5816_2	k141_20379	157	1698	-	1542	125	0.0332823
5816_3	k141_20379	1711	2244	-	534	18	0.0138395
5816_4	k141_20379	2259	2729	-	471	30	0.026151
5816_5	k141_20379	2791	3030	-	240	12	0.0205285
5817_1	k141_39323	2	1204	+	1203	0	0
5817_2	k141_39323	1334	1603	-	270	1	0.00152063
5818_1	k141_96607	1	1164	+	1164	552	0.194704
5818_2	k141_96607	1283	1984	+	702	482	0.281902
5818_3	k141_96607	2249	3334	+	1086	855	0.32324
5818_4	k141_96607	3476	4240	+	765	666	0.357438
5818_5	k141_96607	4237	5145	+	909	601	0.271456
5818_6	k141_96607	5165	6529	+	1365	963	0.289656
5818_7	k141_96607	6558	6665	+	108	50	0.190079
5818_8	k141_96607	6682	8046	+	1365	1165	0.350414
5818_9	k141_96607	8127	8978	+	852	558	0.268895
5818_10	k141_96607	9120	9422	-	303	306	0.414636
5818_11	k141_96607	9631	10656	+	1026	880	0.352147
5818_12	k141_96607	10803	11819	-	1017	868	0.350418
5818_13	k141_96607	12052	13422	+	1371	1019	0.305158
5818_14	k141_96607	13422	14207	+	786	609	0.318114
5818_15	k141_96607	14406	14972	+	567	387	0.280231
5819_1	k141_77537	3	389	-	387	24	0.0254618
5819_2	k141_77537	420	833	-	414	73	0.0723954
5819_3	k141_77537	1061	1315	+	255	51	0.0821142
5820_1	k141_48965	2	406	+	405	137	0.138885
5820_2	k141_48965	608	1642	+	1035	446	0.176922
5820_3	k141_48965	1656	3038	+	1383	562	0.166841
5820_4	k141_48965	3054	3455	+	402	101	0.103153
5821_1	k141_106587	3	485	+	483	5	0.00425022
5821_2	k141_106587	627	740	+	114	1	0.0036015
5821_3	k141_106587	737	1009	+	273	1	0.00150392
5821_4	k141_106587	1038	1811	-	774	6	0.00318272
5821_5	k141_106587	1804	1962	-	159	0	0
5822_1	k141_96609	1	1095	-	1095	12	0.00449941
5822_2	k141_96609	1076	1648	-	573	1	0.000716529
5823_1	k141_182701	345	515	-	171	3	0.007203
5823_2	k141_182701	600	875	-	276	10	0.0148758
5823_3	k141_182701	1014	2408	-	1395	36	0.0105954
5823_4	k141_182701	2562	3350	+	789	10	0.00520369
5824_1	k141_48966	1	849	-	849	9	0.00435234
5824_2	k141_48966	922	1485	-	564	4	0.00291185
5825_1	k141_87012	2	676	+	675	412	0.2506
5825_2	k141_87012	816	1322	+	507	402	0.325541
5825_3	k141_87012	1365	2252	+	888	690	0.319025
5825_4	k141_87012	2270	2692	+	423	295	0.286332
5825_5	k141_87012	2676	3074	-	399	124	0.127596
5826_1	k141_67977	42	788	-	747	7	0.00384739
5826_2	k141_67977	843	1625	-	783	4	0.00209743
5826_3	k141_67977	2956	3135	+	180	9	0.0205285
5826_4	k141_67977	3364	3864	-	501	12	0.00983404
5827_1	k141_77546	2	1729	+	1728	1541	0.36614
5828_1	k141_20385	2	106	-	105	3	0.0117306
5828_2	k141_20385	157	1698	-	1542	60	0.0159755
5828_3	k141_20385	1711	2244	-	534	7	0.00538202
5828_4	k141_20385	2259	2729	-	471	22	0.0191774
5828_5	k141_20385	2780	3019	-	240	11	0.0188178
5829_1	k141_29735	3	131	-	129	5	0.0159136
5829_2	k141_29735	390	977	-	588	5	0.00349125
5829_3	k141_29735	1010	2359	-	1350	29	0.00881967
5829_4	k141_29735	2596	3111	-	516	28	0.022279
5829_5	k141_29735	3140	3361	-	222	22	0.0406872
5829_6	k141_29735	3635	4963	-	1329	250	0.0772331
5829_7	k141_29735	5016	5315	-	300	43	0.0588485
5829_8	k141_29735	5598	7130	+	1533	44	0.0117842
5829_9	k141_29735	7369	8544	-	1176	33	0.0115211
5829_10	k141_29735	8930	9298	+	369	8	0.00890127
5829_11	k141_29735	9403	10902	-	1500	37	0.0101274
5829_12	k141_29735	10915	15450	-	4536	187	0.0169261
5829_13	k141_29735	15598	16377	-	780	44	0.0231604
5829_14	k141_29735	16397	17542	-	1146	41	0.0146888
